B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 0
B28, 1
B28, Trade, 420.258, 183, B28, S11, 1
B29, 0
B30, 3
B30, Trade, 60.545, 190, B30, S15, 1
B30, Trade, 298.576, 190, B30, S28, 1
B30, Trade, 504.530, 190, B30, S28, 1
B31, 8
B31, Trade, 61.682, 194, B31, S17, 1
B31, Trade, 120.879, 191, S23, B31, 1
B31, Trade, 240.826, 194, B31, S21, 1
B31, Trade, 302.697, 192, S26, B31, 1
B31, Trade, 375.303, 194, B31, S11, 1
B31, Trade, 421.621, 194, S17, B31, 1
B31, Trade, 494.886, 194, B31, S02, 1
B31, Trade, 541.348, 194, B31, S00, 1
B32, 9
B32, Trade, 82.652, 198, B32, S28, 1
B32, Trade, 121.803, 192, B32, S05, 1
B32, Trade, 185.644, 198, B32, S28, 1
B32, Trade, 240.455, 198, B32, S12, 1
B32, Trade, 301.447, 193, B32, S17, 1
B32, Trade, 360.826, 197, B32, S26, 1
B32, Trade, 420.856, 196, S13, B32, 1
B32, Trade, 486.682, 198, B32, S03, 1
B32, Trade, 542.765, 194, S14, B32, 1
B33, 8
B33, Trade, 67.174, 200, B33, S11, 1
B33, Trade, 123.485, 193, B33, S12, 1
B33, Trade, 182.038, 199, B33, S20, 1
B33, Trade, 255.205, 199, B33, S16, 1
B33, Trade, 305.879, 191, B33, S03, 1
B33, Trade, 361.614, 196, B33, S00, 1
B33, Trade, 486.273, 199, B33, S05, 1
B33, Trade, 551.583, 190, B33, S28, 1
B34, 8
B34, Trade, 65.326, 200, B34, S09, 1
B34, Trade, 129.553, 196, B34, S29, 1
B34, Trade, 180.386, 197, B34, S25, 1
B34, Trade, 248.182, 200, B34, S17, 1
B34, Trade, 306.848, 191, B34, S21, 1
B34, Trade, 364.303, 196, B34, S20, 1
B34, Trade, 485.606, 204, B34, S08, 1
B34, Trade, 542.902, 193, B34, S08, 1
B35, 9
B35, Trade, 79.758, 200, S24, B35, 1
B35, Trade, 121.076, 196, S20, B35, 1
B35, Trade, 206.674, 199, S26, B35, 1
B35, Trade, 241.864, 201, S22, B35, 1
B35, Trade, 342.144, 198, S32, B35, 1
B35, Trade, 364.439, 198, S12, B35, 1
B35, Trade, 444.712, 196, S22, B35, 1
B35, Trade, 491.561, 195, S10, B35, 1
B35, Trade, 543.932, 195, S24, B35, 1
B36, 7
B36, Trade, 66.848, 200, B36, S26, 1
B36, Trade, 146.455, 205, S34, B36, 1
B36, Trade, 300.455, 199, S05, B36, 1
B36, Trade, 366.144, 198, S31, B36, 1
B36, Trade, 420.417, 200, S05, B36, 1
B36, Trade, 493.811, 195, S22, B36, 1
B36, Trade, 544.068, 194, S09, B36, 1
B37, 9
B37, Trade, 60.242, 195, B37, S00, 1
B37, Trade, 121.083, 192, B37, S25, 1
B37, Trade, 180.417, 198, S10, B37, 1
B37, Trade, 240.773, 197, B37, S03, 1
B37, Trade, 301.606, 192, B37, S16, 1
B37, Trade, 363.258, 197, B37, S10, 1
B37, Trade, 421.265, 194, S20, B37, 1
B37, Trade, 483.773, 216, B37, S16, 1
B37, Trade, 540.652, 195, B37, S01, 1
B38, 9
B38, Trade, 67.886, 200, B38, S31, 1
B38, Trade, 122.045, 192, B38, S21, 1
B38, Trade, 180.917, 199, B38, S09, 1
B38, Trade, 241.667, 198, B38, S00, 1
B38, Trade, 302.091, 192, B38, S09, 1
B38, Trade, 363.538, 196, B38, S16, 1
B38, Trade, 420.939, 195, B38, S26, 1
B38, Trade, 483.682, 219, B38, S27, 1
B38, Trade, 540.788, 194, B38, S30, 1
B39, 9
B39, Trade, 73.826, 198, B39, S16, 1
B39, Trade, 120.576, 191, B39, S00, 1
B39, Trade, 184.629, 198, B39, S11, 1
B39, Trade, 240.644, 204, B39, S02, 1
B39, Trade, 300.182, 187, B39, S25, 1
B39, Trade, 360.326, 200, S32, B39, 1
B39, Trade, 421.273, 193, B39, S23, 1
B39, Trade, 483.136, 223, B39, S29, 1
B39, Trade, 543.962, 192, B39, S25, 1
B40, 9
B40, Trade, 60.538, 194, B40, S04, 1
B40, Trade, 129.932, 195, B40, S28, 1
B40, Trade, 208.841, 197, B40, S19, 1
B40, Trade, 249.212, 200, B40, S14, 1
B40, Trade, 304.583, 191, B40, S02, 1
B40, Trade, 362.720, 197, B40, S29, 1
B40, Trade, 421.045, 195, B40, S09, 1
B40, Trade, 481.947, 226, B40, S21, 1
B40, Trade, 542.962, 193, B40, S05, 1
B41, 7
B41, Trade, 73.598, 199, B41, S21, 1
B41, Trade, 123.659, 192, B41, S24, 1
B41, Trade, 182.295, 198, B41, S16, 1
B41, Trade, 241.606, 199, B41, S10, 1
B41, Trade, 360.417, 201, S17, B41, 1
B41, Trade, 481.439, 229, B41, S25, 1
B41, Trade, 542.841, 193, B41, S15, 1
B42, 9
B42, Trade, 60.992, 218, B42, S03, 1
B42, Trade, 122.417, 195, S10, B42, 1
B42, Trade, 186.091, 199, S32, B42, 1
B42, Trade, 252.848, 206, S34, B42, 1
B42, Trade, 302.864, 193, S23, B42, 1
B42, Trade, 370.780, 201, S33, B42, 1
B42, Trade, 424.402, 196, S02, B42, 1
B42, Trade, 496.326, 194, S13, B42, 1
B42, Trade, 545.341, 195, S31, B42, 1
B43, 9
B43, Trade, 65.788, 200, B43, S05, 1
B43, Trade, 122.856, 193, B43, S11, 1
B43, Trade, 207.023, 198, B43, S02, 1
B43, Trade, 246.530, 200, B43, S11, 1
B43, Trade, 302.614, 191, B43, S29, 1
B43, Trade, 361.606, 198, S02, B43, 1
B43, Trade, 464.439, 193, B43, S28, 1
B43, Trade, 481.280, 231, S41, B43, 1
B43, Trade, 541.432, 194, B43, S07, 1
B44, 9
B44, Trade, 60.962, 206, B44, S13, 1
B44, Trade, 123.515, 193, B44, S22, 1
B44, Trade, 182.250, 199, B44, S00, 1
B44, Trade, 240.712, 203, S04, B44, 1
B44, Trade, 302.303, 192, B44, S28, 1
B44, Trade, 360.341, 192, B44, S03, 1
B44, Trade, 421.280, 193, B44, S25, 1
B44, Trade, 481.121, 233, B44, S11, 1
B44, Trade, 543.409, 192, B44, S03, 1
B45, 9
B45, Trade, 64.265, 201, S20, B45, 1
B45, Trade, 130.720, 201, S33, B45, 1
B45, Trade, 186.402, 200, S31, B45, 1
B45, Trade, 256.197, 209, S35, B45, 1
B45, Trade, 301.848, 193, S14, B45, 1
B45, Trade, 368.432, 199, S24, B45, 1
B45, Trade, 420.788, 197, S27, B45, 1
B45, Trade, 489.447, 197, S19, B45, 1
B45, Trade, 541.523, 197, S04, B45, 1
B46, 9
B46, Trade, 60.402, 201, S33, B46, 1
B46, Trade, 120.121, 177, S16, B46, 1
B46, Trade, 180.591, 199, S23, B46, 1
B46, Trade, 241.689, 200, S32, B46, 1
B46, Trade, 300.364, 199, S24, B46, 1
