B00, 0
B01, 0
B02, 1
B02, Trade, 98.045, 85, S00, B02, 1
B03, 0
B04, 1
B04, Trade, 2943.909, 171, B04, S01, 1
B05, 9
B05, Trade, 297.364, 194, B05, S00, 1
B05, Trade, 1572.727, 192, B05, S02, 1
B05, Trade, 1667.818, 191, B05, S03, 1
B05, Trade, 1765.773, 192, S01, B05, 1
B05, Trade, 1863.682, 197, S01, B05, 1
B05, Trade, 1961.955, 194, S04, B05, 1
B05, Trade, 2943.955, 176, S00, B05, 1
B05, Trade, 3727.545, 200, S03, B05, 1
B05, Trade, 5202.727, 199, B05, S00, 1
B06, 18
B06, Trade, 98.136, 115, S01, B06, 1
B06, Trade, 294.409, 187, B06, S03, 1
B06, Trade, 687.955, 214, S02, B06, 1
B06, Trade, 1374.955, 211, B06, S01, 1
B06, Trade, 1471.545, 198, S02, B06, 1
B06, Trade, 1569.409, 195, S01, B06, 1
B06, Trade, 1667.864, 191, B06, S01, 1
B06, Trade, 1765.955, 192, S00, B06, 1
B06, Trade, 1866.364, 198, B06, S00, 1
B06, Trade, 1963.227, 194, B06, S00, 1
B06, Trade, 2061.045, 194, B06, S03, 1
B06, Trade, 2256.591, 211, S04, B06, 1
B06, Trade, 2355.727, 204, S02, B06, 1
B06, Trade, 2453.091, 203, S00, B06, 1
B06, Trade, 2943.364, 181, S03, B06, 1
B06, Trade, 3336.227, 209, B06, S00, 1
B06, Trade, 3630.455, 208, S03, B06, 1
B06, Trade, 3727.455, 205, S04, B06, 1
B07, 25
B07, Trade, 98.773, 178, B07, S02, 1
B07, Trade, 296.273, 192, B07, S01, 1
B07, Trade, 589.182, 211, B07, S04, 1
B07, Trade, 687.409, 218, S03, B07, 1
B07, Trade, 784.636, 218, B07, S03, 1
B07, Trade, 1079.909, 178, B07, S04, 1
B07, Trade, 1374.545, 213, B07, S00, 1
B07, Trade, 1472.136, 188, S04, B07, 1
B07, Trade, 1569.636, 196, B07, S04, 1
B07, Trade, 1668.500, 190, B07, S04, 1
B07, Trade, 1766.091, 191, B07, S04, 1
B07, Trade, 1962.182, 193, B07, S03, 1
B07, Trade, 2060.273, 194, S02, B07, 1
B07, Trade, 2158.409, 228, B07, S00, 1
B07, Trade, 2256.864, 208, S05, B07, 1
B07, Trade, 2354.818, 204, B07, S03, 1
B07, Trade, 2452.818, 203, S01, B07, 1
B07, Trade, 3336.727, 209, S02, B07, 1
B07, Trade, 3630.091, 208, S05, B07, 1
B07, Trade, 3730.500, 201, B07, S00, 1
B07, Trade, 4905.000, 201, S03, B07, 1
B07, Trade, 5002.500, 201, S03, B07, 1
B07, Trade, 5101.227, 201, S00, B07, 1
B07, Trade, 5200.182, 200, S02, B07, 1
B07, Trade, 5299.136, 199, B07, S00, 1
B08, 29
B08, Trade, 294.500, 180, S02, B08, 1
B08, Trade, 392.273, 188, S04, B08, 1
B08, Trade, 687.727, 216, S00, B08, 1
B08, Trade, 785.636, 219, B08, S02, 1
B08, Trade, 885.136, 189, S00, B08, 1
B08, Trade, 982.091, 175, S02, B08, 1
B08, Trade, 1080.227, 179, S00, B08, 1
B08, Trade, 1275.136, 224, B08, S04, 1
B08, Trade, 1373.364, 239, S03, B08, 1
B08, Trade, 1474.727, 198, B08, S00, 1
B08, Trade, 1670.318, 193, B08, S02, 1
B08, Trade, 1866.091, 203, B08, S02, 1
B08, Trade, 1962.045, 188, S01, B08, 1
B08, Trade, 2062.682, 197, B08, S00, 1
B08, Trade, 2159.591, 216, S03, B08, 1
B08, Trade, 2256.000, 219, S01, B08, 1
B08, Trade, 2357.182, 203, B08, S01, 1
B08, Trade, 2844.864, 202, B08, S02, 1
B08, Trade, 2943.045, 201, S02, B08, 1
B08, Trade, 3041.909, 192, S03, B08, 1
B08, Trade, 3138.955, 199, S02, B08, 1
B08, Trade, 3237.182, 193, S02, B08, 1
B08, Trade, 3336.409, 208, B08, S04, 1
B08, Trade, 3433.364, 212, B08, S02, 1
B08, Trade, 3531.364, 211, B08, S04, 1
B08, Trade, 3631.682, 206, S04, B08, 1
B08, Trade, 3729.864, 202, B08, S02, 1
