B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 4
B05, Trade, 99.818, 189, B05, S03, 1
B05, Trade, 2060.591, 190, B05, S01, 1
B05, Trade, 2551.273, 188, B05, S02, 1
B05, Trade, 3237.591, 193, B05, S03, 1
B06, 13
B06, Trade, 99.000, 174, B06, S02, 1
B06, Trade, 196.818, 222, B06, S01, 1
B06, Trade, 295.727, 218, S04, B06, 1
B06, Trade, 982.182, 180, B06, S02, 1
B06, Trade, 1178.000, 178, B06, S00, 1
B06, Trade, 1866.182, 177, B06, S00, 1
B06, Trade, 2060.864, 190, B06, S04, 1
B06, Trade, 2160.000, 190, S03, B06, 1
B06, Trade, 2256.591, 189, B06, S04, 1
B06, Trade, 2552.136, 182, S01, B06, 1
B06, Trade, 2649.864, 209, B06, S00, 1
B06, Trade, 3044.273, 185, B06, S00, 1
B06, Trade, 3141.136, 184, S01, B06, 1
B07, 15
B07, Trade, 98.318, 164, B07, S00, 1
B07, Trade, 199.636, 219, B07, S02, 1
B07, Trade, 298.727, 217, B07, S05, 1
B07, Trade, 588.864, 181, S00, B07, 1
B07, Trade, 884.545, 180, B07, S01, 1
B07, Trade, 1766.045, 178, S00, B07, 1
B07, Trade, 1864.818, 178, S01, B07, 1
B07, Trade, 1962.091, 177, S02, B07, 1
B07, Trade, 2158.182, 190, S04, B07, 1
B07, Trade, 2648.773, 186, S02, B07, 1
B07, Trade, 2844.591, 218, B07, S02, 1
B07, Trade, 2943.273, 188, S00, B07, 1
B07, Trade, 3041.500, 187, S02, B07, 1
B07, Trade, 3139.182, 198, B07, S04, 1
B07, Trade, 3237.500, 198, B07, S01, 1
B08, 14
B08, Trade, 100.864, 251, B08, S01, 1
B08, Trade, 197.455, 224, S04, B08, 1
B08, Trade, 294.500, 218, S00, B08, 1
B08, Trade, 392.500, 220, B08, S05, 1
B08, Trade, 490.500, 218, B08, S01, 1
B08, Trade, 588.909, 184, S02, B08, 1
B08, Trade, 687.682, 183, S04, B08, 1
B08, Trade, 786.818, 183, S01, B08, 1
B08, Trade, 883.318, 183, S04, B08, 1
B08, Trade, 981.364, 181, S03, B08, 1
B08, Trade, 2060.455, 186, B08, S02, 1
B08, Trade, 2157.955, 190, B08, S01, 1
B08, Trade, 2552.818, 191, S03, B08, 1
B08, Trade, 2747.364, 218, B08, S02, 1
B09, 15
B09, Trade, 98.773, 217, B09, S04, 1
B09, Trade, 196.500, 220, B09, S03, 1
B09, Trade, 490.864, 188, S00, B09, 1
B09, Trade, 589.500, 183, S01, B09, 1
B09, Trade, 883.500, 181, B09, S03, 1
B09, Trade, 981.591, 180, B09, S01, 1
B09, Trade, 1177.091, 178, S01, B09, 1
B09, Trade, 1765.909, 178, S03, B09, 1
B09, Trade, 1864.409, 178, S03, B09, 1
B09, Trade, 1962.591, 178, S04, B09, 1
B09, Trade, 2062.182, 189, S00, B09, 1
B09, Trade, 2552.273, 184, S04, B09, 1
B09, Trade, 3139.364, 190, S03, B09, 1
B09, Trade, 3238.318, 193, S02, B09, 1
B09, Trade, 3335.545, 195, S00, B09, 1
B10, 12
B10, Trade, 99.636, 251, S06, B10, 1
B10, Trade, 196.591, 233, S00, B10, 1
B10, Trade, 492.091, 185, B10, S04, 1
B10, Trade, 688.818, 182, B10, S03, 1
B10, Trade, 883.364, 181, B10, S00, 1
B10, Trade, 1079.682, 179, B10, S01, 1
B10, Trade, 1180.182, 178, S03, B10, 1
B10, Trade, 2061.409, 188, B10, S03, 1
B10, Trade, 2357.045, 189, B10, S04, 1
B10, Trade, 2551.091, 189, S00, B10, 1
B10, Trade, 2747.864, 219, B10, S00, 1
B10, Trade, 3238.773, 195, B10, S00, 1
S00, 17
S00, Trade, 98.318, 164, B07, S00, 1
S00, Trade, 196.591, 233, S00, B10, 1
S00, Trade, 294.500, 218, S00, B08, 1
S00, Trade, 490.864, 188, S00, B09, 1
S00, Trade, 588.864, 181, S00, B07, 1
S00, Trade, 883.364, 181, B10, S00, 1
S00, Trade, 1178.000, 178, B06, S00, 1
S00, Trade, 1766.045, 178, S00, B07, 1
S00, Trade, 1866.182, 177, B06, S00, 1
S00, Trade, 2062.182, 189, S00, B09, 1
S00, Trade, 2551.091, 189, S00, B10, 1
S00, Trade, 2649.864, 209, B06, S00, 1
S00, Trade, 2747.864, 219, B10, S00, 1
S00, Trade, 2943.273, 188, S00, B07, 1
S00, Trade, 3044.273, 185, B06, S00, 1
S00, Trade, 3238.773, 195, B10, S00, 1
S00, Trade, 3335.545, 195, S00, B09, 1
S01, 15
S01, Trade, 100.864, 251, B08, S01, 1
S01, Trade, 196.818, 222, B06, S01, 1
S01, Trade, 490.500, 218, B08, S01, 1
S01, Trade, 589.500, 183, S01, B09, 1
S01, Trade, 786.818, 183, S01, B08, 1
S01, Trade, 884.545, 180, B07, S01, 1
S01, Trade, 981.591, 180, B09, S01, 1
S01, Trade, 1079.682, 179, B10, S01, 1
S01, Trade, 1177.091, 178, S01, B09, 1
S01, Trade, 1864.818, 178, S01, B07, 1
S01, Trade, 2060.591, 190, B05, S01, 1
S01, Trade, 2157.955, 190, B08, S01, 1
S01, Trade, 2552.136, 182, S01, B06, 1
S01, Trade, 3141.136, 184, S01, B06, 1
S01, Trade, 3237.500, 198, B07, S01, 1
S02, 12
S02, Trade, 99.000, 174, B06, S02, 1
S02, Trade, 199.636, 219, B07, S02, 1
S02, Trade, 588.909, 184, S02, B08, 1
S02, Trade, 982.182, 180, B06, S02, 1
S02, Trade, 1962.091, 177, S02, B07, 1
S02, Trade, 2060.455, 186, B08, S02, 1
S02, Trade, 2551.273, 188, B05, S02, 1
S02, Trade, 2648.773, 186, S02, B07, 1
S02, Trade, 2747.364, 218, B08, S02, 1
S02, Trade, 2844.591, 218, B07, S02, 1
S02, Trade, 3041.500, 187, S02, B07, 1
S02, Trade, 3238.318, 193, S02, B09, 1
S03, 13
S03, Trade, 99.818, 189, B05, S03, 1
S03, Trade, 196.500, 220, B09, S03, 1
S03, Trade, 688.818, 182, B10, S03, 1
S03, Trade, 883.500, 181, B09, S03, 1
S03, Trade, 981.364, 181, S03, B08, 1
S03, Trade, 1180.182, 178, S03, B10, 1
S03, Trade, 1765.909, 178, S03, B09, 1
S03, Trade, 1864.409, 178, S03, B09, 1
S03, Trade, 2061.409, 188, B10, S03, 1
S03, Trade, 2160.000, 190, S03, B06, 1
S03, Trade, 2552.818, 191, S03, B08, 1
S03, Trade, 3139.364, 190, S03, B09, 1
S03, Trade, 3237.591, 193, B05, S03, 1
S04, 13
S04, Trade, 98.773, 217, B09, S04, 1
S04, Trade, 197.455, 224, S04, B08, 1
S04, Trade, 295.727, 218, S04, B06, 1
S04, Trade, 492.091, 185, B10, S04, 1
S04, Trade, 687.682, 183, S04, B08, 1
S04, Trade, 883.318, 183, S04, B08, 1
S04, Trade, 1962.591, 178, S04, B09, 1
S04, Trade, 2060.864, 190, B06, S04, 1
S04, Trade, 2158.182, 190, S04, B07, 1
S04, Trade, 2256.591, 189, B06, S04, 1
S04, Trade, 2357.045, 189, B10, S04, 1
S04, Trade, 2552.273, 184, S04, B09, 1
S04, Trade, 3139.182, 198, B07, S04, 1
S05, 2
S05, Trade, 298.727, 217, B07, S05, 1
S05, Trade, 392.500, 220, B08, S05, 1
S06, 1
S06, Trade, 99.636, 251, S06, B10, 1
S07, 0
S08, 0
S09, 0
S10, 0
