B00, 0
B01, 0
B02, 1
B02, Trade, 60.136, 121, B02, S00, 1
B03, 0
B04, 0
B05, 0
B06, 3
B06, Trade, 63.591, 199, B06, S04, 1
B06, Trade, 482.273, 203, B06, S00, 1
B06, Trade, 542.636, 201, B06, S05, 1
B07, 2
B07, Trade, 60.091, 131, S01, B07, 1
B07, Trade, 482.000, 202, B07, S02, 1
B08, 2
B08, Trade, 60.500, 177, S03, B08, 1
B08, Trade, 481.318, 201, B08, S04, 1
B09, 3
B09, Trade, 60.364, 139, S02, B09, 1
B09, Trade, 421.045, 197, S02, B09, 1
B09, Trade, 481.182, 201, S03, B09, 1
B10, 8
B10, Trade, 61.091, 250, S06, B10, 1
B10, Trade, 120.182, 231, B10, S06, 1
B10, Trade, 182.364, 197, S02, B10, 1
B10, Trade, 240.682, 197, S00, B10, 1
B10, Trade, 302.182, 197, S00, B10, 1
B10, Trade, 361.682, 197, S00, B10, 1
B10, Trade, 480.955, 200, S01, B10, 1
B10, Trade, 541.227, 202, S03, B10, 1
S00, 5
S00, Trade, 60.136, 121, B02, S00, 1
S00, Trade, 240.682, 197, S00, B10, 1
S00, Trade, 302.182, 197, S00, B10, 1
S00, Trade, 361.682, 197, S00, B10, 1
S00, Trade, 482.273, 203, B06, S00, 1
S01, 2
S01, Trade, 60.091, 131, S01, B07, 1
S01, Trade, 480.955, 200, S01, B10, 1
S02, 4
S02, Trade, 60.364, 139, S02, B09, 1
S02, Trade, 182.364, 197, S02, B10, 1
S02, Trade, 421.045, 197, S02, B09, 1
S02, Trade, 482.000, 202, B07, S02, 1
S03, 3
S03, Trade, 60.500, 177, S03, B08, 1
S03, Trade, 481.182, 201, S03, B09, 1
S03, Trade, 541.227, 202, S03, B10, 1
S04, 2
S04, Trade, 63.591, 199, B06, S04, 1
S04, Trade, 481.318, 201, B08, S04, 1
S05, 1
S05, Trade, 542.636, 201, B06, S05, 1
S06, 2
S06, Trade, 61.091, 250, S06, B10, 1
S06, Trade, 120.182, 231, B10, S06, 1
S07, 0
S08, 0
S09, 0
S10, 0
