B00, 0
B01, 0
B02, 0
B03, 0
B04, 5
B04, Trade, 99.682, 161, B04, S02, 1
B04, Trade, 3237.227, 161, S02, B04, 1
B04, Trade, 3335.318, 163, B04, S02, 1
B04, Trade, 3433.364, 174, B04, S03, 1
B04, Trade, 3532.136, 172, B04, S03, 1
B05, 8
B05, Trade, 296.000, 182, S02, B05, 1
B05, Trade, 395.955, 181, B05, S03, 1
B05, Trade, 882.818, 183, S02, B05, 1
B05, Trade, 980.864, 194, S04, B05, 1
B05, Trade, 2552.409, 185, B05, S04, 1
B05, Trade, 3237.864, 163, B05, S01, 1
B05, Trade, 3336.045, 162, B05, S03, 1
B05, Trade, 3435.409, 173, B05, S01, 1
B06, 25
B06, Trade, 98.409, 112, S01, B06, 1
B06, Trade, 294.955, 184, B06, S00, 1
B06, Trade, 491.364, 181, S03, B06, 1
B06, Trade, 884.318, 199, B06, S04, 1
B06, Trade, 981.545, 190, B06, S00, 1
B06, Trade, 1276.182, 189, S01, B06, 1
B06, Trade, 1373.227, 189, S01, B06, 1
B06, Trade, 1473.091, 223, B06, S00, 1
B06, Trade, 1767.909, 220, B06, S04, 1
B06, Trade, 2159.273, 211, B06, S03, 1
B06, Trade, 2550.500, 184, S02, B06, 1
B06, Trade, 2649.227, 186, S01, B06, 1
B06, Trade, 3041.682, 163, S02, B06, 1
B06, Trade, 3141.182, 160, B06, S01, 1
B06, Trade, 3339.818, 177, B06, S04, 1
B06, Trade, 4612.136, 195, S04, B06, 1
B06, Trade, 4708.227, 192, B06, S02, 1
B06, Trade, 4808.682, 215, B06, S05, 1
B06, Trade, 4905.000, 218, B06, S00, 1
B06, Trade, 5002.500, 219, B06, S02, 1
B06, Trade, 5102.773, 194, S02, B06, 1
B06, Trade, 5198.591, 202, B06, S03, 1
B06, Trade, 5296.500, 196, B06, S03, 1
B06, Trade, 5787.273, 201, S01, B06, 1
B06, Trade, 5984.591, 200, S00, B06, 1
B07, 21
B07, Trade, 98.227, 92, S00, B07, 1
B07, Trade, 883.000, 182, S01, B07, 1
B07, Trade, 983.227, 191, S03, B07, 1
B07, Trade, 1080.500, 189, S04, B07, 1
B07, Trade, 1472.909, 224, B07, S05, 1
B07, Trade, 1571.818, 220, B07, S01, 1
B07, Trade, 1768.364, 221, B07, S02, 1
