B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 60.045, 116, S01, B04, 1
B05, 0
B06, 5
B06, Trade, 60.545, 181, S03, B06, 1
B06, Trade, 122.136, 216, B06, S00, 1
B06, Trade, 180.955, 196, S03, B06, 1
B06, Trade, 241.455, 194, S00, B06, 1
B06, Trade, 540.955, 216, B06, S00, 1
B07, 2
B07, Trade, 65.500, 203, B07, S00, 1
B07, Trade, 420.955, 204, B07, S00, 1
B08, 2
B08, Trade, 60.364, 147, S02, B08, 1
B08, Trade, 480.909, 202, B08, S00, 1
B09, 5
B09, Trade, 60.727, 259, S05, B09, 1
B09, Trade, 120.364, 232, B09, S03, 1
B09, Trade, 181.000, 199, S00, B09, 1
B09, Trade, 242.273, 194, S02, B09, 1
B09, Trade, 301.091, 192, B09, S00, 1
B10, 6
B10, Trade, 61.364, 248, S06, B10, 1
B10, Trade, 121.545, 224, S01, B10, 1
B10, Trade, 180.318, 200, S02, B10, 1
B10, Trade, 241.273, 194, S01, B10, 1
B10, Trade, 301.227, 194, S01, B10, 1
B10, Trade, 361.545, 192, S00, B10, 1
S00, 9
S00, Trade, 65.500, 203, B07, S00, 1
S00, Trade, 122.136, 216, B06, S00, 1
S00, Trade, 181.000, 199, S00, B09, 1
S00, Trade, 241.455, 194, S00, B06, 1
S00, Trade, 301.091, 192, B09, S00, 1
S00, Trade, 361.545, 192, S00, B10, 1
S00, Trade, 420.955, 204, B07, S00, 1
S00, Trade, 480.909, 202, B08, S00, 1
S00, Trade, 540.955, 216, B06, S00, 1
S01, 4
S01, Trade, 60.045, 116, S01, B04, 1
S01, Trade, 121.545, 224, S01, B10, 1
S01, Trade, 241.273, 194, S01, B10, 1
S01, Trade, 301.227, 194, S01, B10, 1
S02, 3
S02, Trade, 60.364, 147, S02, B08, 1
S02, Trade, 180.318, 200, S02, B10, 1
S02, Trade, 242.273, 194, S02, B09, 1
S03, 3
S03, Trade, 60.545, 181, S03, B06, 1
S03, Trade, 120.364, 232, B09, S03, 1
S03, Trade, 180.955, 196, S03, B06, 1
S04, 0
S05, 1
S05, Trade, 60.727, 259, S05, B09, 1
S06, 1
S06, Trade, 61.364, 248, S06, B10, 1
S07, 0
S08, 0
S09, 0
S10, 0
