B00, 1
B00, Trade, 180.318, 80, B00, S00, 1
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 62.068, 135, B05, S02, 1
B05, Trade, 480.636, 135, B05, S01, 1
B06, 1
B06, Trade, 420.568, 148, B06, S05, 1
B07, 1
B07, Trade, 120.864, 160, B07, S01, 1
B08, 0
B09, 5
B09, Trade, 61.955, 182, B09, S04, 1
B09, Trade, 122.068, 182, B09, S05, 1
B09, Trade, 180.250, 182, B09, S01, 1
B09, Trade, 301.432, 182, B09, S00, 1
B09, Trade, 481.432, 182, B09, S06, 1
B10, 6
B10, Trade, 61.500, 183, B10, S03, 1
B10, Trade, 183.273, 182, S06, B10, 1
B10, Trade, 242.477, 182, B10, S05, 1
B10, Trade, 300.636, 181, B10, S05, 1
B10, Trade, 421.295, 185, B10, S01, 1
B10, Trade, 482.409, 179, B10, S05, 1
B11, 5
B11, Trade, 61.455, 199, B11, S10, 1
B11, Trade, 120.227, 105, B11, S00, 1
B11, Trade, 181.818, 189, B11, S02, 1
B11, Trade, 241.341, 184, B11, S02, 1
B11, Trade, 543.318, 199, B11, S00, 1
B12, 3
B12, Trade, 300.523, 181, B12, S01, 1
B12, Trade, 360.295, 190, B12, S05, 1
B12, Trade, 480.864, 168, S07, B12, 1
B13, 5
B13, Trade, 60.659, 163, B13, S00, 1
B13, Trade, 240.114, 180, B13, S01, 1
B13, Trade, 360.727, 179, B13, S00, 1
B13, Trade, 420.955, 184, B13, S00, 1
B13, Trade, 480.955, 169, S02, B13, 1
B14, 9
B14, Trade, 62.591, 162, S06, B14, 1
B14, Trade, 122.500, 186, S09, B14, 1
B14, Trade, 180.545, 205, S11, B14, 1
B14, Trade, 241.886, 185, S04, B14, 1
B14, Trade, 303.500, 194, S10, B14, 1
B14, Trade, 360.386, 91, S01, B14, 1
B14, Trade, 421.818, 190, S03, B14, 1
B14, Trade, 487.091, 194, S10, B14, 1
B14, Trade, 540.568, 240, B14, S05, 1
B15, 9
B15, Trade, 60.045, 215, S09, B15, 1
B15, Trade, 120.409, 175, S07, B15, 1
B15, Trade, 181.091, 183, S04, B15, 1
B15, Trade, 240.205, 185, S03, B15, 1
B15, Trade, 300.818, 187, S06, B15, 1
B15, Trade, 360.409, 194, S10, B15, 1
B15, Trade, 422.000, 191, S09, B15, 1
B15, Trade, 480.409, 240, S14, B15, 1
B15, Trade, 540.705, 251, B15, S01, 1
B16, 9
B16, Trade, 60.091, 262, B16, S15, 1
B16, Trade, 121.091, 174, S08, B16, 1
B16, Trade, 180.364, 184, S03, B16, 1
B16, Trade, 240.364, 185, S08, B16, 1
B16, Trade, 301.159, 187, S04, B16, 1
B16, Trade, 360.227, 240, S14, B16, 1
B16, Trade, 423.136, 194, S10, B16, 1
B16, Trade, 481.455, 183, S09, B16, 1
B16, Trade, 540.341, 183, S04, B16, 1
B17, 9
B17, Trade, 60.432, 205, S11, B17, 1
B17, Trade, 123.955, 194, S10, B17, 1
B17, Trade, 181.205, 188, S08, B17, 1
B17, Trade, 240.727, 185, S09, B17, 1
B17, Trade, 300.977, 187, S08, B17, 1
B17, Trade, 360.273, 274, B17, S11, 1
B17, Trade, 421.432, 191, S04, B17, 1
B17, Trade, 483.341, 181, S03, B17, 1
B17, Trade, 540.932, 194, S10, B17, 1
B18, 9
B18, Trade, 60.273, 285, B18, S08, 1
B18, Trade, 120.727, 167, S03, B18, 1
B18, Trade, 180.409, 217, S12, B18, 1
B18, Trade, 242.273, 194, S10, B18, 1
B18, Trade, 300.182, 188, S03, B18, 1
B18, Trade, 360.773, 274, S17, B18, 1
B18, Trade, 421.136, 192, S02, B18, 1
B18, Trade, 481.386, 179, S08, B18, 1
B18, Trade, 542.636, 201, S08, B18, 1
B19, 4
B19, Trade, 61.341, 231, B19, S01, 1
B19, Trade, 120.136, 189, B19, S04, 1
B19, Trade, 420.477, 190, B19, S07, 1
B19, Trade, 541.432, 209, B19, S11, 1
B20, 9
B20, Trade, 60.545, 168, S07, B20, 1
B20, Trade, 121.023, 166, S02, B20, 1
B20, Trade, 180.136, 188, S07, B20, 1
B20, Trade, 241.500, 185, S06, B20, 1
B20, Trade, 301.205, 205, S11, B20, 1
B20, Trade, 360.545, 308, B20, S06, 1
B20, Trade, 422.500, 194, S06, B20, 1
B20, Trade, 481.136, 179, S04, B20, 1
B20, Trade, 540.955, 227, S06, B20, 1
B21, 5
B21, Trade, 60.182, 236, B21, S05, 1
B21, Trade, 120.250, 166, S06, B21, 1
B21, Trade, 182.250, 181, B21, S05, 1
B21, Trade, 240.955, 181, B21, S00, 1
B21, Trade, 480.432, 184, B21, S00, 1
S00, 9
S00, Trade, 60.659, 163, B13, S00, 1
S00, Trade, 120.227, 105, B11, S00, 1
S00, Trade, 180.318, 80, B00, S00, 1
S00, Trade, 240.955, 181, B21, S00, 1
S00, Trade, 301.432, 182, B09, S00, 1
S00, Trade, 360.727, 179, B13, S00, 1
S00, Trade, 420.955, 184, B13, S00, 1
S00, Trade, 480.432, 184, B21, S00, 1
S00, Trade, 543.318, 199, B11, S00, 1
S01, 9
S01, Trade, 61.341, 231, B19, S01, 1
S01, Trade, 120.864, 160, B07, S01, 1
S01, Trade, 180.250, 182, B09, S01, 1
S01, Trade, 240.114, 180, B13, S01, 1
S01, Trade, 300.523, 181, B12, S01, 1
S01, Trade, 360.386, 91, S01, B14, 1
S01, Trade, 421.295, 185, B10, S01, 1
S01, Trade, 480.636, 135, B05, S01, 1
S01, Trade, 540.705, 251, B15, S01, 1
S02, 6
S02, Trade, 62.068, 135, B05, S02, 1
S02, Trade, 121.023, 166, S02, B20, 1
S02, Trade, 181.818, 189, B11, S02, 1
S02, Trade, 241.341, 184, B11, S02, 1
S02, Trade, 421.136, 192, S02, B18, 1
S02, Trade, 480.955, 169, S02, B13, 1
S03, 7
S03, Trade, 61.500, 183, B10, S03, 1
S03, Trade, 120.727, 167, S03, B18, 1
S03, Trade, 180.364, 184, S03, B16, 1
S03, Trade, 240.205, 185, S03, B15, 1
S03, Trade, 300.182, 188, S03, B18, 1
S03, Trade, 421.818, 190, S03, B14, 1
S03, Trade, 483.341, 181, S03, B17, 1
S04, 8
S04, Trade, 61.955, 182, B09, S04, 1
S04, Trade, 120.136, 189, B19, S04, 1
