B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 3
B08, Trade, 61.841, 171, B08, S06, 1
B08, Trade, 120.795, 171, S08, B08, 1
B08, Trade, 300.364, 171, B08, S07, 1
B09, 1
B09, Trade, 120.636, 170, B09, S07, 1
B10, 3
B10, Trade, 61.909, 153, B10, S01, 1
B10, Trade, 300.250, 193, B10, S02, 1
B10, Trade, 541.205, 191, B10, S02, 1
B11, 7
B11, Trade, 61.364, 173, B11, S00, 1
B11, Trade, 120.864, 156, B11, S01, 1
B11, Trade, 180.500, 167, B11, S02, 1
B11, Trade, 240.409, 186, B11, S03, 1
B11, Trade, 302.205, 195, B11, S03, 1
B11, Trade, 363.591, 195, B11, S00, 1
B11, Trade, 484.591, 194, B11, S00, 1
B12, 7
B12, Trade, 61.000, 205, B12, S08, 1
B12, Trade, 180.659, 160, B12, S01, 1
B12, Trade, 241.114, 209, B12, S00, 1
B12, Trade, 302.295, 193, B12, S08, 1
B12, Trade, 360.773, 193, B12, S08, 1
B12, Trade, 420.318, 196, B12, S01, 1
B12, Trade, 540.818, 195, B12, S07, 1
B13, 9
B13, Trade, 60.659, 154, S05, B13, 1
B13, Trade, 120.409, 228, B13, S02, 1
B13, Trade, 180.182, 228, B13, S00, 1
B13, Trade, 243.318, 199, S05, B13, 1
B13, Trade, 300.409, 201, S04, B13, 1
B13, Trade, 360.750, 201, S09, B13, 1
B13, Trade, 422.545, 201, S03, B13, 1
B13, Trade, 481.136, 207, S10, B13, 1
B13, Trade, 542.409, 202, S10, B13, 1
B14, 9
B14, Trade, 60.750, 205, S10, B14, 1
B14, Trade, 120.818, 221, S04, B14, 1
B14, Trade, 180.750, 218, S05, B14, 1
B14, Trade, 240.250, 220, S12, B14, 1
B14, Trade, 302.341, 196, S10, B14, 1
B14, Trade, 360.795, 206, S11, B14, 1
B14, Trade, 422.818, 202, S05, B14, 1
B14, Trade, 480.409, 160, S07, B14, 1
B14, Trade, 540.614, 228, S04, B14, 1
B15, 9
B15, Trade, 60.045, 102, S02, B15, 1
B15, Trade, 120.386, 240, S14, B15, 1
B15, Trade, 181.273, 223, S12, B15, 1
B15, Trade, 242.182, 204, S04, B15, 1
B15, Trade, 302.659, 194, S09, B15, 1
B15, Trade, 360.977, 204, S04, B15, 1
B15, Trade, 422.045, 201, S09, B15, 1
B15, Trade, 480.727, 223, S11, B15, 1
B15, Trade, 540.659, 239, S11, B15, 1
B16, 6
B16, Trade, 60.409, 202, B16, S04, 1
B16, Trade, 121.818, 187, B16, S00, 1
B16, Trade, 241.023, 211, B16, S10, 1
B16, Trade, 364.977, 197, B16, S07, 1
B16, Trade, 422.841, 196, B16, S02, 1
B16, Trade, 481.250, 190, B16, S02, 1
B17, 7
B17, Trade, 60.205, 236, S12, B17, 1
B17, Trade, 181.159, 175, B17, S07, 1
B17, Trade, 241.205, 195, B17, S07, 1
B17, Trade, 300.795, 187, B17, S00, 1
B17, Trade, 361.318, 196, B17, S01, 1
B17, Trade, 421.091, 197, B17, S07, 1
B17, Trade, 480.455, 171, S08, B17, 1
B18, 5
B18, Trade, 60.295, 228, S13, B18, 1
B18, Trade, 240.750, 203, B18, S02, 1
B18, Trade, 360.886, 195, B18, S02, 1
B18, Trade, 421.477, 197, B18, S08, 1
B18, Trade, 542.273, 192, B18, S01, 1
B19, 7
B19, Trade, 61.295, 199, B19, S03, 1
B19, Trade, 183.727, 189, B19, S08, 1
B19, Trade, 241.455, 203, B19, S01, 1
B19, Trade, 300.886, 186, B19, S01, 1
B19, Trade, 421.705, 196, B19, S00, 1
B19, Trade, 482.318, 194, B19, S01, 1
B19, Trade, 540.841, 195, B19, S08, 1
B20, 9
B20, Trade, 60.136, 160, S07, B20, 1
B20, Trade, 121.318, 200, S09, B20, 1
B20, Trade, 180.341, 213, S04, B20, 1
B20, Trade, 240.182, 171, S08, B20, 1
B20, Trade, 301.250, 196, S06, B20, 1
B20, Trade, 361.159, 204, S10, B20, 1
B20, Trade, 421.341, 204, S06, B20, 1
B20, Trade, 480.500, 276, S15, B20, 1
B20, Trade, 540.932, 228, S13, B20, 1
B21, 9
B21, Trade, 60.318, 240, S14, B21, 1
B21, Trade, 120.227, 320, B21, S06, 1
B21, Trade, 180.273, 240, S14, B21, 1
B21, Trade, 240.614, 211, S11, B21, 1
B21, Trade, 302.705, 210, S11, B21, 1
B21, Trade, 360.341, 200, S06, B21, 1
B21, Trade, 420.614, 203, S04, B21, 1
B21, Trade, 481.455, 206, S09, B21, 1
B21, Trade, 540.409, 320, B21, S00, 1
S00, 9
S00, Trade, 61.364, 173, B11, S00, 1
S00, Trade, 121.818, 187, B16, S00, 1
S00, Trade, 180.182, 228, B13, S00, 1
S00, Trade, 241.114, 209, B12, S00, 1
S00, Trade, 300.795, 187, B17, S00, 1
S00, Trade, 363.591, 195, B11, S00, 1
S00, Trade, 421.705, 196, B19, S00, 1
S00, Trade, 484.591, 194, B11, S00, 1
S00, Trade, 540.409, 320, B21, S00, 1
S01, 9
S01, Trade, 61.909, 153, B10, S01, 1
S01, Trade, 120.864, 156, B11, S01, 1
S01, Trade, 180.659, 160, B12, S01, 1
S01, Trade, 241.455, 203, B19, S01, 1
S01, Trade, 300.886, 186, B19, S01, 1
S01, Trade, 361.318, 196, B17, S01, 1
S01, Trade, 420.318, 196, B12, S01, 1
S01, Trade, 482.318, 194, B19, S01, 1
S01, Trade, 542.273, 192, B18, S01, 1
S02, 9
S02, Trade, 60.045, 102, S02, B15, 1
S02, Trade, 120.409, 228, B13, S02, 1
S02, Trade, 180.500, 167, B11, S02, 1
S02, Trade, 240.750, 203, B18, S02, 1
S02, Trade, 300.250, 193, B10, S02, 1
S02, Trade, 360.886, 195, B18, S02, 1
S02, Trade, 422.841, 196, B16, S02, 1
S02, Trade, 481.250, 190, B16, S02, 1
S02, Trade, 541.205, 191, B10, S02, 1
S03, 4
S03, Trade, 61.295, 199, B19, S03, 1
S03, Trade, 240.409, 186, B11, S03, 1
S03, Trade, 302.205, 195, B11, S03, 1
S03, Trade, 422.545, 201, S03, B13, 1
S04, 8
S04, Trade, 60.409, 202, B16, S04, 1
S04, Trade, 120.818, 221, S04, B14, 1
S04, Trade, 180.341, 213, S04, B20, 1
S04, Trade, 242.182, 204, S04, B15, 1
S04, Trade, 300.409, 201, S04, B13, 1
S04, Trade, 360.977, 204, S04, B15, 1
S04, Trade, 420.614, 203, S04, B21, 1
S04, Trade, 540.614, 228, S04, B14, 1
S05, 4
S05, Trade, 60.659, 154, S05, B13, 1
S05, Trade, 180.750, 218, S05, B14, 1
S05, Trade, 243.318, 199, S05, B13, 1
S05, Trade, 422.818, 202, S05, B14, 1
S06, 5
S06, Trade, 61.841, 171, B08, S06, 1
S06, Trade, 120.227, 320, B21, S06, 1
S06, Trade, 301.250, 196, S06, B20, 1
S06, Trade, 360.341, 200, S06, B21, 1
S06, Trade, 421.341, 204, S06, B20, 1
S07, 9
S07, Trade, 60.136, 160, S07, B20, 1
S07, Trade, 120.636, 170, B09, S07, 1
S07, Trade, 181.159, 175, B17, S07, 1
S07, Trade, 241.205, 195, B17, S07, 1
S07, Trade, 300.364, 171, B08, S07, 1
S07, Trade, 364.977, 197, B16, S07, 1
S07, Trade, 421.091, 197, B17, S07, 1
S07, Trade, 480.409, 160, S07, B14, 1
S07, Trade, 540.818, 195, B12, S07, 1
S08, 9
S08, Trade, 61.000, 205, B12, S08, 1
S08, Trade, 120.795, 171, S08, B08, 1
S08, Trade, 183.727, 189, B19, S08, 1
S08, Trade, 240.182, 171, S08, B20, 1
S08, Trade, 302.295, 193, B12, S08, 1
S08, Trade, 360.773, 193, B12, S08, 1
S08, Trade, 421.477, 197, B18, S08, 1
S08, Trade, 480.455, 171, S08, B17, 1
S08, Trade, 540.841, 195, B19, S08, 1
S09, 5
S09, Trade, 121.318, 200, S09, B20, 1
S09, Trade, 302.659, 194, S09, B15, 1
S09, Trade, 360.750, 201, S09, B13, 1
S09, Trade, 422.045, 201, S09, B15, 1
S09, Trade, 481.455, 206, S09, B21, 1
S10, 6
S10, Trade, 60.750, 205, S10, B14, 1
S10, Trade, 241.023, 211, B16, S10, 1
S10, Trade, 302.341, 196, S10, B14, 1
S10, Trade, 361.159, 204, S10, B20, 1
S10, Trade, 481.136, 207, S10, B13, 1
S10, Trade, 542.409, 202, S10, B13, 1
S11, 5
S11, Trade, 240.614, 211, S11, B21, 1
S11, Trade, 302.705, 210, S11, B21, 1
S11, Trade, 360.795, 206, S11, B14, 1
S11, Trade, 480.727, 223, S11, B15, 1
S11, Trade, 540.659, 239, S11, B15, 1
S12, 3
S12, Trade, 60.205, 236, S12, B17, 1
S12, Trade, 181.273, 223, S12, B15, 1
S12, Trade, 240.250, 220, S12, B14, 1
S13, 2
S13, Trade, 60.295, 228, S13, B18, 1
S13, Trade, 540.932, 228, S13, B20, 1
S14, 3
S14, Trade, 60.318, 240, S14, B21, 1
S14, Trade, 120.386, 240, S14, B15, 1
S14, Trade, 180.273, 240, S14, B21, 1
S15, 1
S15, Trade, 480.500, 276, S15, B20, 1
S16, 0
S17, 0
S18, 0
S19, 0
S20, 0
S21, 0
