B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 1
B15, Trade, 11.725, 170, B15, S05, 1
B16, 2
B16, Trade, 11.000, 177, B16, S09, 1
B16, Trade, 29.150, 177, B16, S13, 1
B17, 1
B17, Trade, 10.225, 182, B17, S09, 1
B18, 0
B19, 3
B19, Trade, 6.288, 192, B19, S00, 1
B19, Trade, 14.850, 177, S03, B19, 1
B19, Trade, 23.737, 178, B19, S16, 1
B20, 3
B20, Trade, 8.975, 198, B20, S07, 1
B20, Trade, 25.337, 177, B20, S11, 1
B20, Trade, 38.463, 177, B20, S11, 1
B21, 1
B21, Trade, 41.813, 177, B21, S02, 1
B22, 0
B23, 3
B23, Trade, 9.338, 191, B23, S02, 1
B23, Trade, 23.475, 178, S10, B23, 1
B23, Trade, 41.325, 177, B23, S11, 1
B24, 2
B24, Trade, 8.463, 213, B24, S13, 1
B24, Trade, 15.537, 178, S14, B24, 1
B25, 4
B25, Trade, 11.050, 182, B25, S02, 1
B25, Trade, 32.750, 176, B25, S05, 1
B25, Trade, 43.850, 177, B25, S03, 1
B25, Trade, 47.875, 177, B25, S02, 1
B26, 2
B26, Trade, 3.213, 221, B26, S01, 1
B26, Trade, 24.125, 178, B26, S06, 1
B27, 2
B27, Trade, 10.275, 180, B27, S03, 1
B27, Trade, 25.200, 177, B27, S00, 1
B28, 2
B28, Trade, 5.550, 228, S17, B28, 1
B28, Trade, 44.125, 177, B28, S06, 1
B29, 2
B29, Trade, 3.975, 208, B29, S16, 1
B29, Trade, 18.512, 178, S00, B29, 1
B30, 3
B30, Trade, 5.800, 232, S21, B30, 1
B30, Trade, 24.725, 178, B30, S15, 1
B30, Trade, 38.613, 177, B30, S13, 1
B31, 3
B31, Trade, 5.950, 239, S25, B31, 1
B31, Trade, 23.375, 178, S13, B31, 1
B31, Trade, 43.838, 178, S12, B31, 1
B32, 3
B32, Trade, 2.563, 226, B32, S19, 1
B32, Trade, 23.462, 177, B32, S08, 1
B32, Trade, 43.400, 177, B32, S08, 1
B33, 2
B33, Trade, 2.963, 224, B33, S04, 1
B33, Trade, 28.562, 177, B33, S05, 1
B34, 2
B34, Trade, 4.513, 222, S14, B34, 1
B34, Trade, 22.737, 177, B34, S03, 1
B35, 3
B35, Trade, 7.738, 209, B35, S08, 1
B35, Trade, 25.000, 178, B35, S12, 1
B35, Trade, 46.700, 178, S07, B35, 1
B36, 3
B36, Trade, 5.575, 215, B36, S15, 1
B36, Trade, 14.800, 176, B36, S05, 1
B36, Trade, 46.338, 177, B36, S06, 1
B37, 4
B37, Trade, 1.500, 200, B37, S10, 1
B37, Trade, 28.962, 178, S04, B37, 1
B37, Trade, 41.638, 178, S00, B37, 1
B37, Trade, 49.588, 178, S04, B37, 1
B38, 2
B38, Trade, 6.175, 210, B38, S06, 1
B38, Trade, 15.762, 179, S01, B38, 1
B39, 2
B39, Trade, 4.188, 216, B39, S12, 1
B39, Trade, 25.037, 177, B39, S07, 1
S00, 4
S00, Trade, 6.288, 192, B19, S00, 1
S00, Trade, 18.512, 178, S00, B29, 1
S00, Trade, 25.200, 177, B27, S00, 1
S00, Trade, 41.638, 178, S00, B37, 1
S01, 2
S01, Trade, 3.213, 221, B26, S01, 1
S01, Trade, 15.762, 179, S01, B38, 1
S02, 4
S02, Trade, 9.338, 191, B23, S02, 1
S02, Trade, 11.050, 182, B25, S02, 1
S02, Trade, 41.813, 177, B21, S02, 1
S02, Trade, 47.875, 177, B25, S02, 1
S03, 4
S03, Trade, 10.275, 180, B27, S03, 1
S03, Trade, 14.850, 177, S03, B19, 1
S03, Trade, 22.737, 177, B34, S03, 1
S03, Trade, 43.850, 177, B25, S03, 1
S04, 3
S04, Trade, 2.963, 224, B33, S04, 1
S04, Trade, 28.962, 178, S04, B37, 1
S04, Trade, 49.588, 178, S04, B37, 1
S05, 4
S05, Trade, 11.725, 170, B15, S05, 1
S05, Trade, 14.800, 176, B36, S05, 1
S05, Trade, 28.562, 177, B33, S05, 1
S05, Trade, 32.750, 176, B25, S05, 1
S06, 4
S06, Trade, 6.175, 210, B38, S06, 1
S06, Trade, 24.125, 178, B26, S06, 1
S06, Trade, 44.125, 177, B28, S06, 1
S06, Trade, 46.338, 177, B36, S06, 1
S07, 3
S07, Trade, 8.975, 198, B20, S07, 1
S07, Trade, 25.037, 177, B39, S07, 1
S07, Trade, 46.700, 178, S07, B35, 1
S08, 3
S08, Trade, 7.738, 209, B35, S08, 1
S08, Trade, 23.462, 177, B32, S08, 1
S08, Trade, 43.400, 177, B32, S08, 1
S09, 2
S09, Trade, 10.225, 182, B17, S09, 1
S09, Trade, 11.000, 177, B16, S09, 1
S10, 2
S10, Trade, 1.500, 200, B37, S10, 1
S10, Trade, 23.475, 178, S10, B23, 1
S11, 3
S11, Trade, 25.337, 177, B20, S11, 1
S11, Trade, 38.463, 177, B20, S11, 1
S11, Trade, 41.325, 177, B23, S11, 1
S12, 3
S12, Trade, 4.188, 216, B39, S12, 1
S12, Trade, 25.000, 178, B35, S12, 1
S12, Trade, 43.838, 178, S12, B31, 1
S13, 4
S13, Trade, 8.463, 213, B24, S13, 1
S13, Trade, 23.375, 178, S13, B31, 1
S13, Trade, 29.150, 177, B16, S13, 1
S13, Trade, 38.613, 177, B30, S13, 1
S14, 2
S14, Trade, 4.513, 222, S14, B34, 1
S14, Trade, 15.537, 178, S14, B24, 1
S15, 2
S15, Trade, 5.575, 215, B36, S15, 1
S15, Trade, 24.725, 178, B30, S15, 1
S16, 2
S16, Trade, 3.975, 208, B29, S16, 1
S16, Trade, 23.737, 178, B19, S16, 1
S17, 1
S17, Trade, 5.550, 228, S17, B28, 1
S18, 0
S19, 1
S19, Trade, 2.563, 226, B32, S19, 1
S20, 0
S21, 1
S21, Trade, 5.800, 232, S21, B30, 1
S22, 0
S23, 0
S24, 0
S25, 1
S25, Trade, 5.950, 239, S25, B31, 1
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
