B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 300.227, 114, B03, S03, 1
B04, 0
B05, 0
B06, 1
B06, Trade, 301.636, 148, B06, S05, 1
B07, 3
B07, Trade, 120.227, 160, B07, S04, 1
B07, Trade, 360.455, 114, S03, B07, 1
B07, Trade, 540.750, 160, B07, S06, 1
B08, 4
B08, Trade, 61.682, 170, B08, S01, 1
B08, Trade, 300.523, 164, B08, S06, 1
B08, Trade, 420.682, 169, B08, S05, 1
B08, Trade, 540.500, 152, B08, S05, 1
B09, 6
B09, Trade, 61.068, 182, B09, S00, 1
B09, Trade, 300.477, 182, B09, S08, 1
B09, Trade, 361.136, 182, B09, S04, 1
B09, Trade, 420.932, 182, B09, S06, 1
B09, Trade, 481.023, 182, B09, S07, 1
B09, Trade, 541.341, 171, S08, B09, 1
B10, 7
B10, Trade, 120.773, 145, B10, S05, 1
B10, Trade, 181.409, 188, B10, S03, 1
B10, Trade, 243.045, 192, B10, S07, 1
B10, Trade, 301.091, 170, B10, S07, 1
B10, Trade, 421.795, 187, B10, S08, 1
B10, Trade, 482.909, 179, B10, S05, 1
B10, Trade, 541.932, 172, B10, S04, 1
B11, 8
B11, Trade, 61.159, 190, B11, S03, 1
B11, Trade, 120.455, 160, S07, B11, 1
B11, Trade, 181.841, 194, B11, S05, 1
B11, Trade, 240.273, 171, S08, B11, 1
B11, Trade, 301.545, 169, B11, S04, 1
B11, Trade, 362.182, 203, B11, S06, 1
B11, Trade, 420.364, 201, B11, S03, 1
B11, Trade, 480.386, 187, B11, S03, 1
B12, 6
B12, Trade, 61.000, 216, B12, S07, 1
B12, Trade, 124.182, 188, B12, S01, 1
B12, Trade, 181.136, 205, B12, S08, 1
B12, Trade, 242.250, 196, B12, S05, 1
B12, Trade, 421.886, 183, B12, S07, 1
B12, Trade, 541.705, 166, B12, S03, 1
B13, 7
B13, Trade, 122.500, 188, B13, S06, 1
B13, Trade, 180.682, 214, B13, S04, 1
B13, Trade, 241.341, 193, B13, S03, 1
B13, Trade, 363.955, 206, B13, S05, 1
B13, Trade, 421.773, 196, B13, S09, 1
B13, Trade, 482.136, 176, B13, S04, 1
B13, Trade, 541.295, 164, B13, S07, 1
B14, 9
B14, Trade, 60.795, 240, B14, S02, 1
B14, Trade, 120.500, 205, S11, B14, 1
B14, Trade, 181.750, 210, S00, B14, 1
B14, Trade, 241.136, 227, S12, B14, 1
