B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 4.100, 129, B10, S04, 1
B11, 1
B11, Trade, 4.313, 144, B11, S02, 1
B12, 1
B12, Trade, 1.612, 114, S01, B12, 1
B13, 1
B13, Trade, 4.088, 155, B13, S00, 1
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 1
B19, Trade, 8.738, 191, B19, S06, 1
B20, 0
B21, 1
B21, Trade, 3.938, 166, B21, S12, 1
B22, 2
B22, Trade, 7.825, 195, B22, S13, 1
B22, Trade, 56.350, 213, B22, S14, 1
B23, 3
B23, Trade, 16.250, 217, B23, S08, 1
B23, Trade, 31.100, 217, B23, S12, 1
B23, Trade, 48.875, 216, S05, B23, 1
B24, 5
B24, Trade, 8.388, 193, B24, S10, 1
B24, Trade, 24.387, 218, B24, S16, 1
B24, Trade, 32.050, 217, B24, S00, 1
B24, Trade, 42.600, 218, S12, B24, 1
B24, Trade, 54.175, 216, S13, B24, 1
B25, 3
B25, Trade, 1.737, 148, S05, B25, 1
B25, Trade, 15.900, 217, B25, S05, 1
B25, Trade, 46.063, 216, B25, S19, 1
B26, 4
B26, Trade, 11.850, 214, B26, S08, 1
B26, Trade, 21.625, 218, B26, S04, 1
B26, Trade, 43.650, 218, S09, B26, 1
B26, Trade, 53.525, 215, B26, S17, 1
B27, 4
B27, Trade, 9.300, 184, B27, S07, 1
B27, Trade, 19.250, 218, B27, S17, 1
B27, Trade, 47.113, 216, B27, S14, 1
B27, Trade, 55.063, 214, B27, S11, 1
B28, 4
B28, Trade, 8.688, 217, S21, B28, 1
B28, Trade, 12.137, 213, B28, S04, 1
B28, Trade, 38.325, 217, B28, S03, 1
B28, Trade, 46.938, 216, S15, B28, 1
B29, 4
B29, Trade, 5.025, 180, S14, B29, 1
B29, Trade, 30.512, 217, B29, S06, 1
B29, Trade, 43.600, 217, B29, S22, 1
B29, Trade, 49.650, 215, B29, S12, 1
B30, 5
B30, Trade, 3.688, 214, B30, S09, 1
B30, Trade, 19.837, 219, S21, B30, 1
B30, Trade, 30.837, 218, S03, B30, 1
B30, Trade, 48.238, 216, S04, B30, 1
B30, Trade, 55.113, 215, S08, B30, 1
B31, 4
B31, Trade, 6.900, 209, B31, S11, 1
B31, Trade, 15.487, 217, B31, S10, 1
B31, Trade, 45.550, 216, B31, S18, 1
B31, Trade, 51.538, 215, B31, S12, 1
B32, 4
B32, Trade, 4.500, 183, S15, B32, 1
B32, Trade, 31.000, 217, B32, S08, 1
