B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 300.182, 91, S01, B03, 1
B04, 1
B04, Trade, 120.432, 125, B04, S03, 1
B05, 3
B05, Trade, 61.273, 137, B05, S04, 1
B05, Trade, 120.227, 137, B05, S04, 1
B05, Trade, 300.341, 137, B05, S03, 1
B06, 1
B06, Trade, 180.227, 114, S03, B06, 1
B07, 0
B08, 2
B08, Trade, 60.818, 115, S02, B08, 1
B08, Trade, 540.455, 125, S04, B08, 1
B09, 1
B09, Trade, 120.477, 91, S01, B09, 1
B10, 4
B10, Trade, 60.659, 137, B10, S00, 1
B10, Trade, 180.750, 172, B10, S05, 1
B10, Trade, 360.841, 193, B10, S01, 1
B10, Trade, 540.477, 137, S05, B10, 1
B11, 7
B11, Trade, 60.705, 205, B11, S01, 1
B11, Trade, 124.136, 200, S06, B11, 1
B11, Trade, 180.864, 205, B11, S07, 1
B11, Trade, 240.455, 205, B11, S07, 1
B11, Trade, 300.205, 160, S07, B11, 1
B11, Trade, 420.432, 205, B11, S01, 1
B11, Trade, 542.159, 205, B11, S03, 1
B12, 6
B12, Trade, 60.136, 155, B12, S05, 1
B12, Trade, 120.182, 160, S07, B12, 1
B12, Trade, 240.250, 137, S05, B12, 1
B12, Trade, 422.045, 214, B12, S07, 1
B12, Trade, 481.341, 213, B12, S01, 1
B12, Trade, 540.841, 182, B12, S07, 1
B13, 9
B13, Trade, 60.341, 202, S08, B13, 1
B13, Trade, 120.614, 221, S11, B13, 1
B13, Trade, 180.977, 228, S13, B13, 1
B13, Trade, 240.227, 114, S03, B13, 1
B13, Trade, 301.500, 228, B13, S13, 1
B13, Trade, 360.273, 228, B13, S03, 1
B13, Trade, 421.182, 220, S00, B13, 1
B13, Trade, 480.455, 217, S11, B13, 1
B13, Trade, 541.045, 226, S08, B13, 1
B14, 7
B14, Trade, 60.114, 199, B14, S06, 1
B14, Trade, 181.295, 198, B14, S04, 1
B14, Trade, 240.386, 156, B14, S01, 1
B14, Trade, 301.068, 229, B14, S05, 1
B14, Trade, 362.318, 218, B14, S11, 1
B14, Trade, 420.409, 215, B14, S04, 1
B14, Trade, 483.705, 211, B14, S07, 1
B15, 7
B15, Trade, 60.523, 209, B15, S03, 1
B15, Trade, 120.136, 155, S00, B15, 1
B15, Trade, 180.432, 165, B15, S01, 1
B15, Trade, 362.341, 217, B15, S07, 1
B15, Trade, 421.364, 215, B15, S03, 1
B15, Trade, 481.273, 213, B15, S05, 1
B15, Trade, 542.750, 205, B15, S01, 1
B16, 9
B16, Trade, 63.455, 217, S12, B16, 1
B16, Trade, 120.295, 262, B16, S09, 1
B16, Trade, 181.818, 215, S10, B16, 1
B16, Trade, 242.659, 203, S09, B16, 1
B16, Trade, 301.955, 242, S10, B16, 1
B16, Trade, 360.886, 238, S02, B16, 1
B16, Trade, 420.500, 240, S14, B16, 1
B16, Trade, 480.500, 218, S08, B16, 1
B16, Trade, 540.864, 215, S06, B16, 1
B17, 6
B17, Trade, 60.591, 160, S07, B17, 1
B17, Trade, 122.295, 198, S02, B17, 1
B17, Trade, 243.545, 191, B17, S04, 1
B17, Trade, 301.841, 223, B17, S04, 1
B17, Trade, 362.682, 216, B17, S04, 1
B17, Trade, 480.545, 213, B17, S04, 1
B18, 9
B18, Trade, 60.432, 210, S10, B18, 1
B18, Trade, 120.932, 251, S15, B18, 1
B18, Trade, 180.818, 218, S09, B18, 1
B18, Trade, 240.864, 206, S06, B18, 1
