B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 181.273, 192, B05, S03, 1
B05, Trade, 300.864, 198, B05, S02, 1
B06, 5
B06, Trade, 60.182, 163, S02, B06, 1
B06, Trade, 121.136, 217, B06, S04, 1
B06, Trade, 180.955, 208, S01, B06, 1
B06, Trade, 241.227, 200, B06, S04, 1
B06, Trade, 361.727, 198, B06, S01, 1
B07, 4
B07, Trade, 60.364, 194, S04, B07, 1
B07, Trade, 120.636, 218, B07, S01, 1
B07, Trade, 181.818, 189, S02, B07, 1
B07, Trade, 241.409, 198, S01, B07, 1
B08, 3
B08, Trade, 60.818, 228, B08, S03, 1
B08, Trade, 120.182, 218, S05, B08, 1
B08, Trade, 246.682, 198, B08, S00, 1
B09, 5
B09, Trade, 61.636, 196, B09, S01, 1
B09, Trade, 120.545, 225, B09, S06, 1
B09, Trade, 180.773, 194, S00, B09, 1
B09, Trade, 241.000, 196, S03, B09, 1
B09, Trade, 300.500, 199, B09, S03, 1
B10, 9
B10, Trade, 61.364, 252, B10, S00, 1
B10, Trade, 121.818, 219, S02, B10, 1
B10, Trade, 184.636, 212, S04, B10, 1
B10, Trade, 240.364, 214, B10, S02, 1
B10, Trade, 301.136, 199, S01, B10, 1
B10, Trade, 360.500, 200, S03, B10, 1
B10, Trade, 420.409, 199, S00, B10, 1
B10, Trade, 484.773, 198, S02, B10, 1
B10, Trade, 543.727, 198, S03, B10, 1
S00, 4
S00, Trade, 61.364, 252, B10, S00, 1
S00, Trade, 180.773, 194, S00, B09, 1
S00, Trade, 246.682, 198, B08, S00, 1
S00, Trade, 420.409, 199, S00, B10, 1
S01, 6
S01, Trade, 61.636, 196, B09, S01, 1
S01, Trade, 120.636, 218, B07, S01, 1
S01, Trade, 180.955, 208, S01, B06, 1
S01, Trade, 241.409, 198, S01, B07, 1
S01, Trade, 301.136, 199, S01, B10, 1
S01, Trade, 361.727, 198, B06, S01, 1
S02, 6
S02, Trade, 60.182, 163, S02, B06, 1
S02, Trade, 121.818, 219, S02, B10, 1
S02, Trade, 181.818, 189, S02, B07, 1
S02, Trade, 240.364, 214, B10, S02, 1
S02, Trade, 300.864, 198, B05, S02, 1
S02, Trade, 484.773, 198, S02, B10, 1
S03, 6
S03, Trade, 60.818, 228, B08, S03, 1
S03, Trade, 181.273, 192, B05, S03, 1
S03, Trade, 241.000, 196, S03, B09, 1
S03, Trade, 300.500, 199, B09, S03, 1
S03, Trade, 360.500, 200, S03, B10, 1
S03, Trade, 543.727, 198, S03, B10, 1
S04, 4
S04, Trade, 60.364, 194, S04, B07, 1
S04, Trade, 121.136, 217, B06, S04, 1
S04, Trade, 184.636, 212, S04, B10, 1
S04, Trade, 241.227, 200, B06, S04, 1
S05, 1
S05, Trade, 120.182, 218, S05, B08, 1
S06, 1
S06, Trade, 120.545, 225, B09, S06, 1
S07, 0
S08, 0
S09, 0
S10, 0
