B00, 0
B01, 0
B02, 1
B02, Trade, 303.250, 228, S24, B02, 1
B03, 0
B04, 0
B05, 1
B05, Trade, 307.237, 300, S00, B05, 1
B06, 1
B06, Trade, 302.500, 201, S12, B06, 1
B07, 1
B07, Trade, 307.512, 317, S07, B07, 1
B08, 0
B09, 1
B09, Trade, 306.375, 286, S32, B09, 1
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 307.400, 310, S04, B13, 1
B14, 2
B14, Trade, 304.100, 258, S29, B14, 1
B14, Trade, 365.712, 335, B14, S09, 1
B15, 0
B16, 14
B16, Trade, 9.587, 166, S14, B16, 1
B16, Trade, 17.912, 178, B16, S08, 1
B16, Trade, 281.450, 178, B16, S08, 1
B16, Trade, 311.937, 328, S03, B16, 1
B16, Trade, 362.375, 341, B16, S04, 1
B16, Trade, 395.287, 341, B16, S04, 1
B16, Trade, 400.050, 339, S11, B16, 1
B16, Trade, 403.450, 341, B16, S04, 1
B16, Trade, 432.762, 341, B16, S16, 1
B16, Trade, 441.000, 341, B16, S14, 1
B16, Trade, 504.887, 341, B16, S15, 1
B16, Trade, 521.687, 341, B16, S16, 1
B16, Trade, 565.187, 341, B16, S14, 1
B16, Trade, 571.712, 341, B16, S12, 1
B17, 27
B17, Trade, 10.062, 184, S17, B17, 1
B17, Trade, 17.875, 184, B17, S04, 1
B17, Trade, 24.450, 184, B17, S16, 1
B17, Trade, 52.675, 184, B17, S15, 1
B17, Trade, 59.100, 184, B17, S04, 1
B17, Trade, 117.975, 184, B17, S04, 1
B17, Trade, 123.800, 184, B17, S04, 1
B17, Trade, 151.200, 184, B17, S12, 1
B17, Trade, 207.512, 184, B17, S10, 1
B17, Trade, 232.412, 184, B17, S12, 1
B17, Trade, 242.175, 184, B17, S15, 1
B17, Trade, 263.725, 184, B17, S00, 1
B17, Trade, 280.000, 184, B17, S15, 1
B17, Trade, 290.125, 184, B17, S15, 1
B17, Trade, 307.675, 323, S26, B17, 1
B17, Trade, 316.387, 341, S16, B17, 1
B17, Trade, 359.187, 343, B17, S12, 1
B17, Trade, 366.712, 342, S13, B17, 1
B17, Trade, 388.912, 343, B17, S14, 1
B17, Trade, 395.237, 343, B17, S10, 1
B17, Trade, 396.662, 342, S02, B17, 1
B17, Trade, 431.500, 343, B17, S00, 1
B17, Trade, 478.150, 343, B17, S04, 1
B17, Trade, 498.000, 343, B17, S02, 1
B17, Trade, 503.187, 343, B17, S00, 1
B17, Trade, 521.112, 343, B17, S05, 1
B17, Trade, 565.100, 343, B17, S00, 1
B18, 2
B18, Trade, 302.762, 215, S22, B18, 1
B18, Trade, 404.400, 343, B18, S10, 1
B19, 50
B19, Trade, 6.763, 196, B19, S12, 1
B19, Trade, 19.700, 196, S19, B19, 1
B19, Trade, 41.750, 196, B19, S14, 1
B19, Trade, 60.325, 191, S03, B19, 1
B19, Trade, 62.213, 192, S02, B19, 1
B19, Trade, 80.738, 196, B19, S12, 1
B19, Trade, 103.475, 196, B19, S15, 1
B19, Trade, 117.313, 196, B19, S12, 1
B19, Trade, 131.050, 196, S19, B19, 1
B19, Trade, 148.500, 196, B19, S12, 1
B19, Trade, 159.787, 191, S07, B19, 1
B19, Trade, 188.687, 196, B19, S00, 1
B19, Trade, 195.337, 195, S07, B19, 1
B19, Trade, 208.687, 196, B19, S15, 1
B19, Trade, 231.800, 196, B19, S08, 1
B19, Trade, 241.750, 196, B19, S00, 1
B19, Trade, 251.125, 196, B19, S05, 1
B19, Trade, 262.150, 196, B19, S14, 1
B19, Trade, 271.800, 196, S19, B19, 1
B19, Trade, 283.050, 187, S09, B19, 1
B19, Trade, 287.375, 194, S06, B19, 1
B19, Trade, 309.925, 328, S01, B19, 1
B19, Trade, 313.275, 335, S14, B19, 1
B19, Trade, 326.262, 348, B19, S06, 1
B19, Trade, 334.712, 345, S09, B19, 1
B19, Trade, 343.362, 348, B19, S10, 1
B19, Trade, 360.462, 348, B19, S03, 1
B19, Trade, 368.500, 341, S11, B19, 1
B19, Trade, 381.475, 348, B19, S00, 1
B19, Trade, 383.475, 348, S13, B19, 1
B19, Trade, 392.512, 346, S09, B19, 1
B19, Trade, 408.162, 348, B19, S12, 1
B19, Trade, 422.200, 348, B19, S05, 1
B19, Trade, 431.300, 348, B19, S10, 1
B19, Trade, 441.300, 345, S13, B19, 1
B19, Trade, 442.550, 346, S07, B19, 1
B19, Trade, 453.387, 346, S17, B19, 1
B19, Trade, 470.112, 348, B19, S14, 1
B19, Trade, 476.962, 348, B19, S05, 1
B19, Trade, 482.937, 348, B19, S14, 1
B19, Trade, 502.012, 348, B19, S10, 1
B19, Trade, 517.275, 348, B19, S14, 1
B19, Trade, 527.700, 348, S13, B19, 1
B19, Trade, 535.025, 345, S01, B19, 1
B19, Trade, 554.837, 348, B19, S07, 1
B19, Trade, 562.200, 348, B19, S00, 1
B19, Trade, 566.112, 345, S07, B19, 1
B19, Trade, 576.925, 348, S19, B19, 1
B19, Trade, 586.400, 348, B19, S08, 1
B19, Trade, 597.350, 348, B19, S13, 1
B20, 11
B20, Trade, 29.525, 198, B20, S06, 1
B20, Trade, 43.275, 202, S07, B20, 1
B20, Trade, 54.850, 196, S01, B20, 1
B20, Trade, 149.150, 202, B20, S09, 1
B20, Trade, 222.025, 202, B20, S00, 1
