B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 1
B14, Trade, 5.038, 158, B14, S00, 1
B15, 1
B15, Trade, 0.825, 140, B15, S03, 1
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 1
B21, Trade, 3.763, 197, B21, S07, 1
B22, 4
B22, Trade, 10.550, 209, B22, S05, 1
B22, Trade, 30.287, 214, B22, S12, 1
B22, Trade, 53.738, 212, B22, S21, 1
B22, Trade, 84.438, 210, B22, S12, 1
B23, 7
B23, Trade, 7.788, 214, B23, S02, 1
B23, Trade, 11.062, 214, B23, S00, 1
B23, Trade, 31.600, 214, B23, S09, 1
B23, Trade, 47.475, 212, B23, S18, 1
B23, Trade, 57.575, 211, B23, S08, 1
B23, Trade, 82.300, 211, B23, S21, 1
B23, Trade, 94.863, 209, B23, S02, 1
B24, 4
B24, Trade, 4.663, 161, B24, S04, 1
B24, Trade, 46.388, 213, S07, B24, 1
B24, Trade, 54.488, 212, B24, S09, 1
B24, Trade, 102.225, 209, B24, S01, 1
B25, 3
B25, Trade, 8.000, 212, B25, S16, 1
B25, Trade, 17.875, 215, B25, S02, 1
B25, Trade, 30.625, 215, S04, B25, 1
B26, 6
B26, Trade, 6.900, 171, B26, S01, 1
B26, Trade, 26.712, 214, B26, S02, 1
B26, Trade, 30.375, 214, B26, S05, 1
B26, Trade, 84.838, 211, S03, B26, 1
B26, Trade, 101.450, 209, B26, S20, 1
B26, Trade, 109.213, 209, B26, S03, 1
B27, 6
B27, Trade, 13.225, 219, B27, S10, 1
B27, Trade, 31.962, 215, S18, B27, 1
B27, Trade, 54.475, 212, B27, S16, 1
B27, Trade, 82.263, 212, S13, B27, 1
B27, Trade, 86.750, 210, S07, B27, 1
B27, Trade, 102.050, 210, S11, B27, 1
B28, 5
B28, Trade, 5.938, 172, S11, B28, 1
B28, Trade, 45.013, 214, S02, B28, 1
B28, Trade, 55.938, 211, B28, S01, 1
B28, Trade, 82.188, 211, B28, S06, 1
B28, Trade, 84.388, 211, S18, B28, 1
B29, 4
B29, Trade, 4.538, 176, S13, B29, 1
B29, Trade, 16.775, 216, B29, S05, 1
B29, Trade, 34.262, 213, B29, S00, 1
B29, Trade, 54.313, 212, B29, S00, 1
B30, 5
B30, Trade, 7.288, 206, B30, S14, 1
B30, Trade, 19.962, 216, S18, B30, 1
B30, Trade, 53.500, 213, S19, B30, 1
B30, Trade, 82.100, 211, B30, S00, 1
B30, Trade, 85.975, 210, B30, S14, 1
B31, 4
B31, Trade, 6.525, 209, S18, B31, 1
B31, Trade, 12.275, 217, B31, S07, 1
B31, Trade, 34.525, 213, B31, S14, 1
B31, Trade, 48.575, 212, B31, S18, 1
B32, 5
B32, Trade, 1.437, 192, B32, S06, 1
B32, Trade, 19.800, 215, B32, S10, 1
B32, Trade, 46.338, 213, S03, B32, 1
B32, Trade, 65.163, 211, B32, S08, 1
B32, Trade, 85.088, 210, B32, S16, 1
B33, 2
B33, Trade, 10.525, 218, B33, S09, 1
B33, Trade, 18.087, 215, B33, S11, 1
B34, 3
B34, Trade, 2.663, 218, B34, S12, 1
B34, Trade, 32.650, 213, B34, S13, 1
B34, Trade, 84.788, 210, B34, S04, 1
B35, 7
B35, Trade, 6.300, 180, S15, B35, 1
B35, Trade, 14.787, 215, B35, S08, 1
B35, Trade, 29.512, 215, S06, B35, 1
B35, Trade, 47.325, 212, B35, S12, 1
B35, Trade, 63.938, 211, B35, S01, 1
B35, Trade, 87.913, 209, B35, S02, 1
B35, Trade, 102.113, 209, B35, S03, 1
B36, 6
B36, Trade, 10.200, 230, B36, S17, 1
B36, Trade, 31.537, 214, B36, S01, 1
B36, Trade, 44.188, 213, B36, S14, 1
B36, Trade, 52.488, 212, B36, S18, 1
B36, Trade, 81.513, 212, S04, B36, 1
B36, Trade, 100.175, 209, B36, S20, 1
B37, 5
B37, Trade, 13.900, 216, B37, S09, 1
B37, Trade, 20.575, 215, B37, S13, 1
B37, Trade, 54.463, 212, B37, S07, 1
B37, Trade, 87.275, 209, B37, S20, 1
B37, Trade, 102.150, 209, B37, S04, 1
B38, 5
B38, Trade, 3.363, 269, S26, B38, 1
B38, Trade, 29.375, 214, B38, S08, 1
B38, Trade, 45.338, 213, B38, S01, 1
B38, Trade, 53.863, 212, B38, S04, 1
B38, Trade, 87.688, 209, B38, S10, 1
B39, 7
B39, Trade, 6.400, 215, S22, B39, 1
B39, Trade, 20.137, 215, B39, S12, 1
B39, Trade, 32.450, 214, S10, B39, 1
B39, Trade, 47.275, 213, S05, B39, 1
B39, Trade, 55.913, 212, S20, B39, 1
B39, Trade, 80.288, 211, B39, S08, 1
