B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 1
B17, Trade, 10.575, 180, B17, S11, 1
B18, 1
B18, Trade, 4.325, 187, B18, S00, 1
B19, 5
B19, Trade, 13.512, 195, S02, B19, 1
B19, Trade, 38.200, 195, B19, S08, 1
B19, Trade, 54.838, 194, B19, S17, 1
B19, Trade, 77.963, 193, B19, S14, 1
B19, Trade, 88.375, 193, B19, S08, 1
B20, 5
B20, Trade, 13.125, 197, B20, S09, 1
B20, Trade, 23.275, 196, S17, B20, 1
B20, Trade, 73.713, 193, B20, S01, 1
B20, Trade, 91.250, 193, B20, S14, 1
B20, Trade, 121.713, 193, B20, S09, 1
B21, 3
B21, Trade, 7.713, 185, B21, S01, 1
B21, Trade, 23.437, 195, B21, S05, 1
B21, Trade, 41.363, 194, B21, S02, 1
B22, 9
B22, Trade, 1.725, 199, B22, S03, 1
B22, Trade, 13.862, 194, B22, S08, 1
B22, Trade, 33.512, 195, B22, S06, 1
B22, Trade, 38.175, 196, S10, B22, 1
B22, Trade, 56.650, 193, B22, S03, 1
B22, Trade, 66.538, 194, S11, B22, 1
B22, Trade, 73.063, 194, S12, B22, 1
B22, Trade, 94.688, 194, S11, B22, 1
B22, Trade, 121.050, 194, S01, B22, 1
B23, 5
B23, Trade, 7.250, 212, B23, S06, 1
B23, Trade, 12.462, 195, S07, B23, 1
B23, Trade, 40.863, 194, B23, S14, 1
B23, Trade, 54.825, 195, S16, B23, 1
B23, Trade, 90.575, 194, S05, B23, 1
B24, 5
B24, Trade, 1.512, 215, B24, S05, 1
B24, Trade, 20.125, 196, B24, S01, 1
B24, Trade, 25.437, 195, B24, S11, 1
B24, Trade, 55.225, 194, S15, B24, 1
B24, Trade, 86.225, 193, B24, S08, 1
B25, 8
B25, Trade, 6.988, 220, B25, S02, 1
B25, Trade, 13.687, 195, B25, S11, 1
B25, Trade, 35.200, 195, B25, S15, 1
B25, Trade, 55.250, 193, B25, S07, 1
B25, Trade, 66.675, 193, B25, S17, 1
B25, Trade, 85.850, 194, S18, B25, 1
B25, Trade, 122.425, 193, S11, B25, 1
B25, Trade, 131.088, 192, B25, S15, 1
B26, 4
B26, Trade, 10.112, 183, S13, B26, 1
B26, Trade, 16.000, 196, B26, S12, 1
B26, Trade, 54.975, 194, B26, S08, 1
B26, Trade, 73.613, 193, B26, S14, 1
B27, 4
B27, Trade, 2.863, 199, B27, S10, 1
B27, Trade, 24.800, 195, B27, S15, 1
B27, Trade, 110.038, 193, B27, S09, 1
B27, Trade, 120.813, 193, B27, S07, 1
B28, 1
B28, Trade, 123.725, 192, B28, S15, 1
B29, 3
B29, Trade, 4.200, 232, B29, S17, 1
B29, Trade, 18.037, 196, B29, S08, 1
B29, Trade, 120.188, 193, B29, S13, 1
B30, 5
B30, Trade, 2.162, 202, S18, B30, 1
B30, Trade, 40.288, 195, B30, S11, 1
B30, Trade, 66.963, 193, B30, S09, 1
B30, Trade, 107.425, 193, B30, S01, 1
B30, Trade, 136.688, 192, B30, S03, 1
B31, 1
B31, Trade, 7.475, 219, B31, S12, 1
B32, 3
B32, Trade, 6.400, 219, B32, S07, 1
B32, Trade, 18.275, 196, B32, S00, 1
B32, Trade, 40.825, 194, B32, S12, 1
B33, 6
B33, Trade, 9.562, 215, S19, B33, 1
B33, Trade, 39.738, 195, B33, S03, 1
B33, Trade, 66.500, 193, B33, S03, 1
B33, Trade, 85.438, 193, B33, S03, 1
B33, Trade, 93.975, 193, B33, S09, 1
B33, Trade, 122.125, 193, S16, B33, 1
B34, 5
B34, Trade, 1.887, 201, B34, S09, 1
B34, Trade, 10.700, 181, S06, B34, 1
B34, Trade, 40.625, 195, S01, B34, 1
B34, Trade, 94.975, 193, B34, S17, 1
B34, Trade, 123.213, 192, B34, S03, 1
B35, 4
B35, Trade, 3.213, 216, B35, S20, 1
