B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 3
B18, Trade, 9.263, 188, B18, S08, 1
B18, Trade, 71.375, 189, B18, S01, 1
B18, Trade, 82.463, 189, B18, S16, 1
B19, 3
B19, Trade, 9.125, 191, B19, S11, 1
B19, Trade, 44.588, 193, B19, S14, 1
B19, Trade, 90.563, 189, B19, S06, 1
B20, 5
B20, Trade, 34.262, 195, S03, B20, 1
B20, Trade, 43.963, 194, S06, B20, 1
B20, Trade, 71.725, 190, S11, B20, 1
B20, Trade, 88.613, 190, S11, B20, 1
B20, Trade, 104.313, 188, B20, S05, 1
B21, 5
B21, Trade, 11.925, 189, B21, S04, 1
B21, Trade, 35.087, 194, B21, S10, 1
B21, Trade, 62.838, 190, B21, S09, 1
B21, Trade, 90.550, 189, B21, S03, 1
B21, Trade, 102.413, 189, S01, B21, 1
B22, 5
B22, Trade, 4.663, 191, B22, S07, 1
B22, Trade, 21.012, 193, B22, S12, 1
B22, Trade, 54.425, 191, B22, S03, 1
B22, Trade, 62.675, 190, B22, S08, 1
B22, Trade, 101.500, 188, B22, S10, 1
B23, 8
B23, Trade, 11.650, 187, B23, S10, 1
B23, Trade, 23.412, 194, B23, S04, 1
B23, Trade, 33.700, 194, B23, S08, 1
B23, Trade, 44.388, 193, B23, S05, 1
B23, Trade, 50.525, 193, S18, B23, 1
B23, Trade, 64.063, 190, S12, B23, 1
B23, Trade, 69.688, 190, S18, B23, 1
B23, Trade, 98.550, 189, S14, B23, 1
B24, 7
B24, Trade, 8.838, 198, B24, S00, 1
B24, Trade, 15.787, 193, B24, S15, 1
B24, Trade, 25.137, 194, B24, S00, 1
B24, Trade, 43.488, 193, B24, S03, 1
B24, Trade, 54.200, 192, S17, B24, 1
B24, Trade, 80.125, 189, B24, S16, 1
B24, Trade, 90.463, 189, B24, S01, 1
B25, 4
B25, Trade, 2.950, 212, B25, S02, 1
B25, Trade, 53.300, 193, S16, B25, 1
B25, Trade, 88.313, 189, B25, S15, 1
B25, Trade, 99.025, 189, S00, B25, 1
B26, 5
B26, Trade, 18.600, 193, B26, S10, 1
B26, Trade, 43.650, 193, B26, S04, 1
B26, Trade, 62.288, 190, B26, S13, 1
B26, Trade, 87.825, 190, S18, B26, 1
B26, Trade, 103.250, 188, B26, S15, 1
B27, 3
B27, Trade, 6.088, 183, B27, S01, 1
B27, Trade, 41.400, 193, B27, S07, 1
B27, Trade, 62.175, 190, B27, S06, 1
B28, 6
B28, Trade, 5.725, 204, B28, S06, 1
B28, Trade, 34.887, 194, B28, S05, 1
B28, Trade, 44.338, 193, B28, S11, 1
B28, Trade, 52.063, 192, B28, S01, 1
B28, Trade, 61.000, 191, S11, B28, 1
B28, Trade, 86.100, 189, B28, S05, 1
B29, 8
B29, Trade, 9.562, 212, S19, B29, 1
B29, Trade, 20.612, 194, B29, S00, 1
B29, Trade, 50.663, 192, B29, S10, 1
B29, Trade, 51.625, 193, S00, B29, 1
B29, Trade, 71.350, 190, S07, B29, 1
B29, Trade, 79.550, 190, S04, B29, 1
B29, Trade, 89.838, 189, B29, S17, 1
B29, Trade, 101.713, 189, S16, B29, 1
B30, 5
B30, Trade, 7.575, 205, S15, B30, 1
B30, Trade, 14.450, 192, B30, S09, 1
B30, Trade, 53.825, 192, S09, B30, 1
B30, Trade, 71.313, 189, B30, S03, 1
B30, Trade, 89.100, 189, B30, S07, 1
B31, 5
B31, Trade, 9.862, 186, B31, S09, 1
B31, Trade, 34.450, 195, S14, B31, 1
B31, Trade, 53.550, 192, B31, S00, 1
B31, Trade, 62.313, 190, B31, S05, 1
B31, Trade, 85.525, 190, S00, B31, 1
B32, 6
B32, Trade, 5.813, 190, B32, S13, 1
B32, Trade, 10.275, 187, B32, S12, 1
B32, Trade, 25.675, 194, B32, S13, 1
B32, Trade, 44.713, 193, B32, S12, 1
B32, Trade, 70.000, 189, B32, S05, 1
B32, Trade, 101.975, 188, B32, S07, 1
B33, 4
B33, Trade, 3.613, 209, B33, S05, 1
B33, Trade, 37.075, 193, B33, S04, 1
B33, Trade, 62.425, 190, B33, S07, 1
B33, Trade, 90.500, 189, B33, S04, 1
B34, 4
B34, Trade, 5.163, 230, S18, B34, 1
B34, Trade, 26.812, 194, B34, S12, 1
B34, Trade, 62.163, 190, B34, S14, 1
B34, Trade, 90.575, 188, B34, S13, 1
B35, 5
B35, Trade, 8.525, 198, B35, S03, 1
B35, Trade, 35.137, 194, S16, B35, 1
B35, Trade, 52.725, 192, B35, S13, 1
B35, Trade, 79.163, 189, B35, S03, 1
B35, Trade, 98.575, 188, B35, S09, 1
B36, 5
B36, Trade, 7.813, 214, S14, B36, 1
B36, Trade, 20.775, 194, B36, S08, 1
B36, Trade, 42.125, 194, S01, B36, 1
B36, Trade, 62.650, 190, B36, S16, 1
B36, Trade, 97.413, 188, B36, S03, 1
B37, 3
B37, Trade, 7.513, 204, S16, B37, 1
B37, Trade, 21.087, 193, B37, S08, 1
B37, Trade, 50.638, 192, B37, S15, 1
B38, 5
B38, Trade, 3.813, 220, S20, B38, 1
B38, Trade, 35.250, 193, B38, S07, 1
B38, Trade, 43.525, 193, B38, S13, 1
B38, Trade, 53.425, 192, B38, S08, 1
B38, Trade, 62.488, 190, B38, S17, 1
B39, 4
B39, Trade, 8.113, 233, S24, B39, 1
B39, Trade, 24.975, 195, S18, B39, 1
B39, Trade, 44.138, 194, S02, B39, 1
B39, Trade, 89.238, 190, S02, B39, 1
S00, 7
S00, Trade, 8.838, 198, B24, S00, 1
S00, Trade, 20.612, 194, B29, S00, 1
S00, Trade, 25.137, 194, B24, S00, 1
S00, Trade, 51.625, 193, S00, B29, 1
S00, Trade, 53.550, 192, B31, S00, 1
S00, Trade, 85.525, 190, S00, B31, 1
S00, Trade, 99.025, 189, S00, B25, 1
S01, 6
S01, Trade, 6.088, 183, B27, S01, 1
S01, Trade, 42.125, 194, S01, B36, 1
S01, Trade, 52.063, 192, B28, S01, 1
S01, Trade, 71.375, 189, B18, S01, 1
S01, Trade, 90.463, 189, B24, S01, 1
S01, Trade, 102.413, 189, S01, B21, 1
S02, 3
S02, Trade, 2.950, 212, B25, S02, 1
S02, Trade, 44.138, 194, S02, B39, 1
S02, Trade, 89.238, 190, S02, B39, 1
S03, 8
S03, Trade, 8.525, 198, B35, S03, 1
S03, Trade, 34.262, 195, S03, B20, 1
S03, Trade, 43.488, 193, B24, S03, 1
S03, Trade, 54.425, 191, B22, S03, 1
S03, Trade, 71.313, 189, B30, S03, 1
S03, Trade, 79.163, 189, B35, S03, 1
S03, Trade, 90.550, 189, B21, S03, 1
S03, Trade, 97.413, 188, B36, S03, 1
S04, 6
S04, Trade, 11.925, 189, B21, S04, 1
S04, Trade, 23.412, 194, B23, S04, 1
S04, Trade, 37.075, 193, B33, S04, 1
S04, Trade, 43.650, 193, B26, S04, 1
S04, Trade, 79.550, 190, S04, B29, 1
S04, Trade, 90.500, 189, B33, S04, 1
S05, 7
S05, Trade, 3.613, 209, B33, S05, 1
S05, Trade, 34.887, 194, B28, S05, 1
S05, Trade, 44.388, 193, B23, S05, 1
S05, Trade, 62.313, 190, B31, S05, 1
S05, Trade, 70.000, 189, B32, S05, 1
S05, Trade, 86.100, 189, B28, S05, 1
S05, Trade, 104.313, 188, B20, S05, 1
S06, 4
S06, Trade, 5.725, 204, B28, S06, 1
S06, Trade, 43.963, 194, S06, B20, 1
S06, Trade, 62.175, 190, B27, S06, 1
S06, Trade, 90.563, 189, B19, S06, 1
S07, 7
S07, Trade, 4.663, 191, B22, S07, 1
S07, Trade, 35.250, 193, B38, S07, 1
S07, Trade, 41.400, 193, B27, S07, 1
S07, Trade, 62.425, 190, B33, S07, 1
S07, Trade, 71.350, 190, S07, B29, 1
S07, Trade, 89.100, 189, B30, S07, 1
S07, Trade, 101.975, 188, B32, S07, 1
S08, 6
S08, Trade, 9.263, 188, B18, S08, 1
S08, Trade, 20.775, 194, B36, S08, 1
S08, Trade, 21.087, 193, B37, S08, 1
S08, Trade, 33.700, 194, B23, S08, 1
S08, Trade, 53.425, 192, B38, S08, 1
S08, Trade, 62.675, 190, B22, S08, 1
S09, 5
S09, Trade, 9.862, 186, B31, S09, 1
S09, Trade, 14.450, 192, B30, S09, 1
S09, Trade, 53.825, 192, S09, B30, 1
S09, Trade, 62.838, 190, B21, S09, 1
S09, Trade, 98.575, 188, B35, S09, 1
S10, 5
S10, Trade, 11.650, 187, B23, S10, 1
S10, Trade, 18.600, 193, B26, S10, 1
S10, Trade, 35.087, 194, B21, S10, 1
S10, Trade, 50.663, 192, B29, S10, 1
S10, Trade, 101.500, 188, B22, S10, 1
S11, 5
S11, Trade, 9.125, 191, B19, S11, 1
S11, Trade, 44.338, 193, B28, S11, 1
S11, Trade, 61.000, 191, S11, B28, 1
S11, Trade, 71.725, 190, S11, B20, 1
S11, Trade, 88.613, 190, S11, B20, 1
S12, 5
S12, Trade, 10.275, 187, B32, S12, 1
S12, Trade, 21.012, 193, B22, S12, 1
S12, Trade, 26.812, 194, B34, S12, 1
S12, Trade, 44.713, 193, B32, S12, 1
S12, Trade, 64.063, 190, S12, B23, 1
S13, 6
S13, Trade, 5.813, 190, B32, S13, 1
S13, Trade, 25.675, 194, B32, S13, 1
S13, Trade, 43.525, 193, B38, S13, 1
S13, Trade, 52.725, 192, B35, S13, 1
S13, Trade, 62.288, 190, B26, S13, 1
S13, Trade, 90.575, 188, B34, S13, 1
S14, 5
S14, Trade, 7.813, 214, S14, B36, 1
S14, Trade, 34.450, 195, S14, B31, 1
S14, Trade, 44.588, 193, B19, S14, 1
S14, Trade, 62.163, 190, B34, S14, 1
S14, Trade, 98.550, 189, S14, B23, 1
S15, 5
S15, Trade, 7.575, 205, S15, B30, 1
S15, Trade, 15.787, 193, B24, S15, 1
S15, Trade, 50.638, 192, B37, S15, 1
S15, Trade, 88.313, 189, B25, S15, 1
S15, Trade, 103.250, 188, B26, S15, 1
S16, 7
S16, Trade, 7.513, 204, S16, B37, 1
S16, Trade, 35.137, 194, S16, B35, 1
S16, Trade, 53.300, 193, S16, B25, 1
S16, Trade, 62.650, 190, B36, S16, 1
S16, Trade, 80.125, 189, B24, S16, 1
S16, Trade, 82.463, 189, B18, S16, 1
S16, Trade, 101.713, 189, S16, B29, 1
S17, 3
S17, Trade, 54.200, 192, S17, B24, 1
S17, Trade, 62.488, 190, B38, S17, 1
S17, Trade, 89.838, 189, B29, S17, 1
S18, 5
S18, Trade, 5.163, 230, S18, B34, 1
S18, Trade, 24.975, 195, S18, B39, 1
