B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 1
B15, Trade, 3.600, 135, B15, S01, 1
B16, 0
B17, 0
B18, 1
B18, Trade, 2.275, 172, S08, B18, 1
B19, 1
B19, Trade, 3.750, 169, B19, S00, 1
B20, 2
B20, Trade, 8.150, 157, B20, S04, 1
B20, Trade, 24.075, 201, S18, B20, 1
B21, 3
B21, Trade, 9.862, 176, B21, S06, 1
B21, Trade, 23.587, 201, B21, S02, 1
B21, Trade, 34.625, 200, B21, S01, 1
B22, 3
B22, Trade, 5.125, 146, B22, S02, 1
B22, Trade, 23.362, 201, B22, S04, 1
B22, Trade, 28.512, 200, B22, S10, 1
B23, 4
B23, Trade, 17.250, 201, B23, S09, 1
B23, Trade, 25.425, 201, S13, B23, 1
B23, Trade, 34.487, 200, B23, S10, 1
B23, Trade, 36.212, 200, S05, B23, 1
B24, 2
B24, Trade, 12.262, 213, B24, S10, 1
B24, Trade, 16.250, 206, S15, B24, 1
B25, 1
B25, Trade, 7.900, 161, S09, B25, 1
B26, 4
B26, Trade, 6.988, 165, B26, S07, 1
B26, Trade, 15.012, 203, B26, S05, 1
B26, Trade, 24.925, 200, B26, S09, 1
B26, Trade, 36.875, 199, B26, S06, 1
B27, 3
B27, Trade, 1.750, 241, B27, S21, 1
B27, Trade, 23.950, 201, B27, S02, 1
B27, Trade, 54.700, 199, B27, S01, 1
B28, 2
B28, Trade, 9.388, 182, S14, B28, 1
B28, Trade, 23.575, 201, B28, S00, 1
B29, 2
B29, Trade, 8.588, 176, B29, S13, 1
B29, Trade, 23.562, 201, B29, S19, 1
B30, 3
B30, Trade, 6.800, 173, B30, S03, 1
B30, Trade, 25.800, 200, B30, S14, 1
B30, Trade, 35.125, 200, B30, S11, 1
B31, 2
B31, Trade, 8.088, 169, S12, B31, 1
B31, Trade, 35.262, 200, B31, S00, 1
B32, 3
B32, Trade, 3.225, 142, S05, B32, 1
B32, Trade, 18.687, 202, B32, S07, 1
B32, Trade, 34.562, 201, S08, B32, 1
B33, 4
B33, Trade, 8.163, 199, S18, B33, 1
B33, Trade, 14.437, 205, B33, S08, 1
B33, Trade, 31.187, 200, B33, S09, 1
B33, Trade, 37.100, 199, B33, S12, 1
B34, 3
B34, Trade, 1.975, 194, B34, S11, 1
B34, Trade, 36.237, 199, B34, S03, 1
B34, Trade, 37.850, 199, B34, S04, 1
B35, 2
B35, Trade, 6.863, 196, S16, B35, 1
B35, Trade, 35.475, 200, B35, S19, 1
B36, 4
B36, Trade, 10.250, 221, S23, B36, 1
B36, Trade, 12.750, 207, S03, B36, 1
B36, Trade, 23.275, 202, S11, B36, 1
B36, Trade, 46.038, 199, B36, S01, 1
B37, 3
B37, Trade, 9.887, 205, S20, B37, 1
B37, Trade, 13.362, 206, S19, B37, 1
B37, Trade, 23.712, 201, B37, S15, 1
B38, 2
B38, Trade, 5.100, 189, S15, B38, 1
B38, Trade, 25.975, 200, B38, S10, 1
B39, 2
B39, Trade, 1.225, 262, B39, S17, 1
B39, Trade, 23.387, 201, B39, S01, 1
S00, 3
S00, Trade, 3.750, 169, B19, S00, 1
S00, Trade, 23.575, 201, B28, S00, 1
S00, Trade, 35.262, 200, B31, S00, 1
S01, 5
S01, Trade, 3.600, 135, B15, S01, 1
S01, Trade, 23.387, 201, B39, S01, 1
S01, Trade, 34.625, 200, B21, S01, 1
S01, Trade, 46.038, 199, B36, S01, 1
S01, Trade, 54.700, 199, B27, S01, 1
S02, 3
S02, Trade, 5.125, 146, B22, S02, 1
S02, Trade, 23.587, 201, B21, S02, 1
S02, Trade, 23.950, 201, B27, S02, 1
S03, 3
S03, Trade, 6.800, 173, B30, S03, 1
S03, Trade, 12.750, 207, S03, B36, 1
S03, Trade, 36.237, 199, B34, S03, 1
S04, 3
S04, Trade, 8.150, 157, B20, S04, 1
S04, Trade, 23.362, 201, B22, S04, 1
S04, Trade, 37.850, 199, B34, S04, 1
S05, 3
S05, Trade, 3.225, 142, S05, B32, 1
S05, Trade, 15.012, 203, B26, S05, 1
S05, Trade, 36.212, 200, S05, B23, 1
S06, 2
S06, Trade, 9.862, 176, B21, S06, 1
S06, Trade, 36.875, 199, B26, S06, 1
S07, 2
S07, Trade, 6.988, 165, B26, S07, 1
S07, Trade, 18.687, 202, B32, S07, 1
S08, 3
S08, Trade, 2.275, 172, S08, B18, 1
S08, Trade, 14.437, 205, B33, S08, 1
S08, Trade, 34.562, 201, S08, B32, 1
S09, 4
S09, Trade, 7.900, 161, S09, B25, 1
S09, Trade, 17.250, 201, B23, S09, 1
S09, Trade, 24.925, 200, B26, S09, 1
S09, Trade, 31.187, 200, B33, S09, 1
S10, 4
S10, Trade, 12.262, 213, B24, S10, 1
S10, Trade, 25.975, 200, B38, S10, 1
S10, Trade, 28.512, 200, B22, S10, 1
S10, Trade, 34.487, 200, B23, S10, 1
S11, 3
S11, Trade, 1.975, 194, B34, S11, 1
S11, Trade, 23.275, 202, S11, B36, 1
S11, Trade, 35.125, 200, B30, S11, 1
S12, 2
S12, Trade, 8.088, 169, S12, B31, 1
S12, Trade, 37.100, 199, B33, S12, 1
S13, 2
S13, Trade, 8.588, 176, B29, S13, 1
S13, Trade, 25.425, 201, S13, B23, 1
S14, 2
S14, Trade, 9.388, 182, S14, B28, 1
S14, Trade, 25.800, 200, B30, S14, 1
S15, 3
S15, Trade, 5.100, 189, S15, B38, 1
S15, Trade, 16.250, 206, S15, B24, 1
S15, Trade, 23.712, 201, B37, S15, 1
S16, 1
S16, Trade, 6.863, 196, S16, B35, 1
S17, 1
S17, Trade, 1.225, 262, B39, S17, 1
S18, 2
S18, Trade, 8.163, 199, S18, B33, 1
S18, Trade, 24.075, 201, S18, B20, 1
S19, 3
S19, Trade, 13.362, 206, S19, B37, 1
S19, Trade, 23.562, 201, B29, S19, 1
S19, Trade, 35.475, 200, B35, S19, 1
S20, 1
S20, Trade, 9.887, 205, S20, B37, 1
S21, 1
S21, Trade, 1.750, 241, B27, S21, 1
S22, 0
S23, 1
S23, Trade, 10.250, 221, S23, B36, 1
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
