B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B12, Trade, 3.013, 147, B12, S00, 1
B13, 0
B14, 0
B15, 1
B15, Trade, 5.725, 166, B15, S03, 1
B16, 1
B16, Trade, 2.750, 168, B16, S10, 1
B17, 0
B18, 1
B18, Trade, 3.475, 139, B18, S04, 1
B19, 0
B20, 1
B20, Trade, 16.437, 202, B20, S14, 1
B21, 2
B21, Trade, 10.012, 203, B21, S05, 1
B21, Trade, 16.525, 202, B21, S08, 1
B22, 1
B22, Trade, 14.912, 203, B22, S00, 1
B23, 5
B23, Trade, 9.100, 203, B23, S14, 1
B23, Trade, 13.175, 203, B23, S10, 1
B23, Trade, 47.675, 202, B23, S12, 1
B23, Trade, 66.713, 202, B23, S03, 1
B23, Trade, 69.075, 203, S10, B23, 1
B24, 4
B24, Trade, 2.413, 152, S06, B24, 1
B24, Trade, 12.825, 203, B24, S08, 1
B24, Trade, 51.413, 202, B24, S03, 1
B24, Trade, 58.825, 203, S11, B24, 1
B25, 3
B25, Trade, 3.325, 172, S11, B25, 1
B25, Trade, 24.675, 202, B25, S08, 1
B25, Trade, 47.588, 203, S04, B25, 1
B26, 2
B26, Trade, 16.825, 203, B26, S05, 1
B26, Trade, 69.588, 202, B26, S14, 1
B27, 2
B27, Trade, 9.850, 204, B27, S09, 1
B27, Trade, 19.137, 202, B27, S04, 1
B28, 4
B28, Trade, 8.988, 203, B28, S01, 1
B28, Trade, 10.600, 203, B28, S02, 1
B28, Trade, 32.312, 202, B28, S09, 1
B28, Trade, 58.713, 202, B28, S09, 1
B29, 0
B30, 1
B30, Trade, 5.525, 170, S12, B30, 1
B31, 2
B31, Trade, 7.200, 206, B31, S15, 1
B31, Trade, 59.488, 202, B31, S02, 1
B32, 3
B32, Trade, 8.625, 205, B32, S16, 1
B32, Trade, 21.025, 202, B32, S09, 1
B32, Trade, 67.650, 202, B32, S09, 1
B33, 2
B33, Trade, 9.575, 215, S20, B33, 1
B33, Trade, 59.088, 202, B33, S15, 1
B34, 3
B34, Trade, 8.538, 211, S21, B34, 1
B34, Trade, 23.775, 203, B34, S10, 1
B34, Trade, 46.650, 202, B34, S09, 1
B35, 2
B35, Trade, 17.562, 202, B35, S02, 1
B35, Trade, 50.013, 202, B35, S08, 1
B36, 2
B36, Trade, 3.913, 173, S13, B36, 1
B36, Trade, 30.875, 202, B36, S08, 1
B37, 2
B37, Trade, 1.125, 149, S07, B37, 1
B37, Trade, 50.663, 202, B37, S14, 1
B38, 1
B38, Trade, 7.175, 207, S18, B38, 1
B39, 4
B39, Trade, 9.150, 215, S22, B39, 1
B39, Trade, 16.250, 204, S01, B39, 1
B39, Trade, 21.500, 203, B39, S07, 1
B39, Trade, 57.150, 202, B39, S03, 1
S00, 2
S00, Trade, 3.013, 147, B12, S00, 1
S00, Trade, 14.912, 203, B22, S00, 1
S01, 2
S01, Trade, 8.988, 203, B28, S01, 1
S01, Trade, 16.250, 204, S01, B39, 1
S02, 3
S02, Trade, 10.600, 203, B28, S02, 1
S02, Trade, 17.562, 202, B35, S02, 1
S02, Trade, 59.488, 202, B31, S02, 1
S03, 4
S03, Trade, 5.725, 166, B15, S03, 1
S03, Trade, 51.413, 202, B24, S03, 1
S03, Trade, 57.150, 202, B39, S03, 1
