B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 3
B15, Trade, 42.788, 168, S00, B15, 1
B15, Trade, 64.638, 167, B15, S12, 1
B15, Trade, 91.600, 164, B15, S03, 1
B16, 1
B16, Trade, 6.925, 170, B16, S05, 1
B17, 1
B17, Trade, 6.750, 183, B17, S01, 1
B18, 4
B18, Trade, 26.625, 168, B18, S00, 1
B18, Trade, 42.663, 168, B18, S06, 1
B18, Trade, 66.338, 167, B18, S06, 1
B18, Trade, 76.713, 166, S07, B18, 1
B19, 6
B19, Trade, 7.063, 165, B19, S02, 1
B19, Trade, 15.962, 169, S01, B19, 1
B19, Trade, 35.287, 169, S10, B19, 1
B19, Trade, 66.150, 167, B19, S08, 1
B19, Trade, 86.138, 165, B19, S02, 1
B19, Trade, 89.875, 165, S00, B19, 1
B20, 4
B20, Trade, 9.837, 162, S07, B20, 1
B20, Trade, 35.212, 168, B20, S09, 1
B20, Trade, 42.825, 168, S07, B20, 1
B20, Trade, 78.838, 165, B20, S08, 1
B21, 1
B21, Trade, 6.713, 203, B21, S08, 1
B22, 4
B22, Trade, 10.162, 156, B22, S00, 1
B22, Trade, 36.150, 168, B22, S03, 1
B22, Trade, 68.013, 167, B22, S09, 1
B22, Trade, 76.050, 166, B22, S09, 1
B23, 2
B23, Trade, 1.412, 133, S06, B23, 1
B23, Trade, 77.150, 166, S11, B23, 1
B24, 5
B24, Trade, 8.550, 171, S11, B24, 1
B24, Trade, 12.850, 171, S08, B24, 1
B24, Trade, 30.162, 168, B24, S13, 1
B24, Trade, 79.325, 165, B24, S10, 1
B24, Trade, 89.075, 166, S12, B24, 1
B25, 2
B25, Trade, 1.937, 189, B25, S10, 1
B25, Trade, 19.212, 169, S06, B25, 1
B26, 5
B26, Trade, 1.375, 209, B26, S03, 1
B26, Trade, 17.225, 170, S12, B26, 1
B26, Trade, 26.000, 169, S11, B26, 1
B26, Trade, 32.837, 169, S07, B26, 1
B26, Trade, 91.438, 165, S04, B26, 1
B27, 4
B27, Trade, 6.563, 240, B27, S18, 1
B27, Trade, 68.500, 166, B27, S07, 1
B27, Trade, 79.038, 165, B27, S06, 1
B27, Trade, 89.200, 165, S03, B27, 1
B28, 4
B28, Trade, 6.575, 224, B28, S14, 1
B28, Trade, 14.262, 170, S09, B28, 1
B28, Trade, 79.250, 165, B28, S05, 1
B28, Trade, 89.125, 165, B28, S08, 1
B29, 5
B29, Trade, 3.588, 248, B29, S13, 1
B29, Trade, 57.713, 167, B29, S12, 1
B29, Trade, 66.950, 168, S03, B29, 1
B29, Trade, 75.200, 167, S10, B29, 1
B29, Trade, 91.525, 165, S13, B29, 1
B30, 5
B30, Trade, 5.563, 247, B30, S17, 1
B30, Trade, 12.162, 176, S13, B30, 1
B30, Trade, 30.112, 169, S14, B30, 1
B30, Trade, 42.538, 168, B30, S01, 1
B30, Trade, 74.400, 166, B30, S00, 1
B31, 6
B31, Trade, 6.675, 251, S25, B31, 1
B31, Trade, 30.600, 169, S12, B31, 1
B31, Trade, 42.363, 168, B31, S11, 1
B31, Trade, 64.738, 168, S13, B31, 1
B31, Trade, 76.375, 166, S03, B31, 1
B31, Trade, 88.988, 166, S11, B31, 1
B32, 5
B32, Trade, 2.463, 256, B32, S19, 1
B32, Trade, 31.900, 168, B32, S08, 1
B32, Trade, 42.163, 169, S05, B32, 1
B32, Trade, 43.350, 168, B32, S05, 1
B32, Trade, 65.300, 168, S06, B32, 1
B33, 2
B33, Trade, 5.275, 250, B33, S16, 1
B33, Trade, 76.075, 166, B33, S04, 1
B34, 4
B34, Trade, 9.887, 239, S21, B34, 1
B34, Trade, 13.925, 171, S04, B34, 1
B34, Trade, 42.025, 168, B34, S09, 1
B34, Trade, 80.025, 165, B34, S01, 1
B35, 3
B35, Trade, 7.263, 152, S09, B35, 1
B35, Trade, 44.438, 168, S02, B35, 1
B35, Trade, 88.888, 165, B35, S01, 1
B36, 6
B36, Trade, 4.350, 248, B36, S15, 1
B36, Trade, 17.500, 170, S00, B36, 1
B36, Trade, 23.812, 169, S10, B36, 1
B36, Trade, 34.750, 169, S02, B36, 1
B36, Trade, 45.363, 168, S12, B36, 1
B36, Trade, 68.213, 166, B36, S00, 1
B37, 4
B37, Trade, 4.763, 245, B37, S04, 1
B37, Trade, 42.225, 168, B37, S14, 1
B37, Trade, 64.900, 167, B37, S08, 1
B37, Trade, 81.588, 165, B37, S02, 1
B38, 4
B38, Trade, 9.113, 206, S20, B38, 1
B38, Trade, 12.150, 164, S02, B38, 1
B38, Trade, 43.100, 168, B38, S13, 1
B38, Trade, 80.300, 165, B38, S13, 1
B39, 4
B39, Trade, 7.875, 168, S12, B39, 1
B39, Trade, 13.262, 171, S03, B39, 1
B39, Trade, 42.463, 168, B39, S04, 1
B39, Trade, 85.475, 165, B39, S07, 1
S00, 7
S00, Trade, 10.162, 156, B22, S00, 1
S00, Trade, 17.500, 170, S00, B36, 1
S00, Trade, 26.625, 168, B18, S00, 1
S00, Trade, 42.788, 168, S00, B15, 1
S00, Trade, 68.213, 166, B36, S00, 1
