B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 3.300, 133, B11, S03, 1
B12, 0
B13, 0
B14, 0
B15, 1
B15, Trade, 4.613, 151, B15, S06, 1
B16, 1
B16, Trade, 2.738, 150, B16, S09, 1
B17, 1
B17, Trade, 3.888, 169, B17, S12, 1
B18, 0
B19, 1
B19, Trade, 6.388, 195, B19, S08, 1
B20, 1
B20, Trade, 63.775, 202, B20, S14, 1
B21, 5
B21, Trade, 11.612, 203, B21, S00, 1
B21, Trade, 15.550, 206, B21, S19, 1
B21, Trade, 32.400, 206, B21, S04, 1
B21, Trade, 51.313, 205, B21, S15, 1
B21, Trade, 59.550, 204, B21, S06, 1
B22, 2
B22, Trade, 9.275, 200, S14, B22, 1
B22, Trade, 51.388, 205, B22, S18, 1
B23, 2
B23, Trade, 2.400, 153, B23, S07, 1
B23, Trade, 59.875, 204, B23, S03, 1
B24, 2
B24, Trade, 52.175, 204, B24, S05, 1
B24, Trade, 60.613, 203, B24, S17, 1
B25, 5
B25, Trade, 3.150, 172, B25, S02, 1
B25, Trade, 11.537, 205, B25, S05, 1
B25, Trade, 30.975, 206, B25, S07, 1
B25, Trade, 51.263, 206, S14, B25, 1
B25, Trade, 64.275, 203, S13, B25, 1
B26, 3
B26, Trade, 10.325, 213, S21, B26, 1
B26, Trade, 14.125, 207, B26, S05, 1
B26, Trade, 60.875, 203, B26, S16, 1
B27, 3
B27, Trade, 17.012, 206, B27, S00, 1
B27, Trade, 54.225, 204, B27, S03, 1
B27, Trade, 60.450, 204, S14, B27, 1
B28, 3
B28, Trade, 24.925, 205, B28, S04, 1
B28, Trade, 51.725, 205, B28, S04, 1
B28, Trade, 63.750, 203, S07, B28, 1
B29, 3
B29, Trade, 8.850, 193, S13, B29, 1
B29, Trade, 52.350, 204, B29, S01, 1
B29, Trade, 60.600, 203, B29, S05, 1
B30, 4
B30, Trade, 1.300, 249, B30, S10, 1
B30, Trade, 21.275, 205, B30, S05, 1
B30, Trade, 51.375, 205, B30, S09, 1
B30, Trade, 61.013, 203, B30, S16, 1
B31, 2
B31, Trade, 10.962, 207, B31, S15, 1
B31, Trade, 52.425, 204, B31, S16, 1
B32, 5
B32, Trade, 5.775, 251, B32, S11, 1
B32, Trade, 20.837, 206, B32, S07, 1
B32, Trade, 51.850, 205, B32, S19, 1
B32, Trade, 65.125, 201, B32, S19, 1
B32, Trade, 70.075, 201, S15, B32, 1
B33, 5
B33, Trade, 9.363, 211, S20, B33, 1
B33, Trade, 14.800, 207, B33, S14, 1
B33, Trade, 30.537, 206, B33, S03, 1
B33, Trade, 52.063, 204, B33, S11, 1
B33, Trade, 60.963, 203, B33, S20, 1
B34, 2
B34, Trade, 5.938, 199, B34, S04, 1
B34, Trade, 65.075, 202, B34, S06, 1
B35, 5
B35, Trade, 6.813, 198, S17, B35, 1
B35, Trade, 15.262, 204, B35, S04, 1
B35, Trade, 32.625, 206, B35, S05, 1
B35, Trade, 51.950, 205, B35, S06, 1
B35, Trade, 64.888, 202, B35, S08, 1
B36, 4
B36, Trade, 9.700, 212, S16, B36, 1
B36, Trade, 14.775, 208, S11, B36, 1
B36, Trade, 52.313, 204, B36, S00, 1
B36, Trade, 63.875, 202, B36, S05, 1
B37, 2
B37, Trade, 1.225, 263, B37, S01, 1
B37, Trade, 52.900, 204, B37, S02, 1
B38, 3
B38, Trade, 11.787, 203, B38, S03, 1
B38, Trade, 50.600, 205, B38, S07, 1
B38, Trade, 64.825, 202, B38, S02, 1
B39, 4
B39, Trade, 9.225, 195, S18, B39, 1
B39, Trade, 29.437, 206, B39, S00, 1
B39, Trade, 51.413, 205, B39, S10, 1
B39, Trade, 65.375, 201, B39, S18, 1
S00, 4
S00, Trade, 11.612, 203, B21, S00, 1
S00, Trade, 17.012, 206, B27, S00, 1
S00, Trade, 29.437, 206, B39, S00, 1
S00, Trade, 52.313, 204, B36, S00, 1
S01, 2
S01, Trade, 1.225, 263, B37, S01, 1
S01, Trade, 52.350, 204, B29, S01, 1
S02, 3
S02, Trade, 3.150, 172, B25, S02, 1
S02, Trade, 52.900, 204, B37, S02, 1
S02, Trade, 64.825, 202, B38, S02, 1
S03, 5
S03, Trade, 3.300, 133, B11, S03, 1
S03, Trade, 11.787, 203, B38, S03, 1
S03, Trade, 30.537, 206, B33, S03, 1
S03, Trade, 54.225, 204, B27, S03, 1
S03, Trade, 59.875, 204, B23, S03, 1
S04, 5
S04, Trade, 5.938, 199, B34, S04, 1
S04, Trade, 15.262, 204, B35, S04, 1
S04, Trade, 24.925, 205, B28, S04, 1
S04, Trade, 32.400, 206, B21, S04, 1
S04, Trade, 51.725, 205, B28, S04, 1
S05, 7
S05, Trade, 11.537, 205, B25, S05, 1
S05, Trade, 14.125, 207, B26, S05, 1
S05, Trade, 21.275, 205, B30, S05, 1
S05, Trade, 32.625, 206, B35, S05, 1
S05, Trade, 52.175, 204, B24, S05, 1
S05, Trade, 60.600, 203, B29, S05, 1
S05, Trade, 63.875, 202, B36, S05, 1
S06, 4
S06, Trade, 4.613, 151, B15, S06, 1
S06, Trade, 51.950, 205, B35, S06, 1
S06, Trade, 59.550, 204, B21, S06, 1
S06, Trade, 65.075, 202, B34, S06, 1
S07, 5
S07, Trade, 2.400, 153, B23, S07, 1
S07, Trade, 20.837, 206, B32, S07, 1
S07, Trade, 30.975, 206, B25, S07, 1
S07, Trade, 50.600, 205, B38, S07, 1
S07, Trade, 63.750, 203, S07, B28, 1
S08, 2
S08, Trade, 6.388, 195, B19, S08, 1
S08, Trade, 64.888, 202, B35, S08, 1
S09, 2
S09, Trade, 2.738, 150, B16, S09, 1
S09, Trade, 51.375, 205, B30, S09, 1
S10, 2
S10, Trade, 1.300, 249, B30, S10, 1
S10, Trade, 51.413, 205, B39, S10, 1
S11, 3
S11, Trade, 5.775, 251, B32, S11, 1
S11, Trade, 14.775, 208, S11, B36, 1
S11, Trade, 52.063, 204, B33, S11, 1
S12, 1
S12, Trade, 3.888, 169, B17, S12, 1
S13, 2
S13, Trade, 8.850, 193, S13, B29, 1
S13, Trade, 64.275, 203, S13, B25, 1
S14, 5
S14, Trade, 9.275, 200, S14, B22, 1
S14, Trade, 14.800, 207, B33, S14, 1
S14, Trade, 51.263, 206, S14, B25, 1
S14, Trade, 60.450, 204, S14, B27, 1
