B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 3.750, 122, B09, S05, 1
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 4.038, 122, B13, S00, 1
B14, 0
B15, 0
B16, 0
B17, 1
B17, Trade, 1.087, 114, S03, B17, 1
B18, 1
B18, Trade, 55.625, 189, B18, S10, 1
B19, 4
B19, Trade, 12.212, 188, B19, S04, 1
B19, Trade, 26.125, 192, B19, S03, 1
B19, Trade, 31.787, 191, B19, S11, 1
B19, Trade, 55.650, 189, B19, S04, 1
B20, 3
B20, Trade, 11.825, 189, B20, S12, 1
B20, Trade, 25.287, 193, S18, B20, 1
B20, Trade, 55.013, 190, S08, B20, 1
B21, 4
B21, Trade, 10.087, 186, B21, S04, 1
B21, Trade, 28.737, 192, S15, B21, 1
B21, Trade, 31.825, 192, S05, B21, 1
B21, Trade, 62.000, 190, S07, B21, 1
B22, 4
B22, Trade, 11.950, 191, S01, B22, 1
B22, Trade, 16.362, 192, B22, S13, 1
B22, Trade, 41.363, 189, B22, S02, 1
B22, Trade, 64.600, 190, S05, B22, 1
B23, 2
B23, Trade, 29.100, 191, B23, S18, 1
B23, Trade, 39.875, 189, B23, S01, 1
B24, 5
B24, Trade, 1.937, 150, B24, S06, 1
B24, Trade, 25.500, 192, B24, S13, 1
B24, Trade, 31.287, 191, B24, S00, 1
B24, Trade, 45.613, 189, B24, S02, 1
B24, Trade, 55.288, 189, B24, S10, 1
B25, 2
B25, Trade, 32.637, 190, B25, S16, 1
B25, Trade, 62.888, 189, B25, S15, 1
B26, 1
B26, Trade, 32.275, 190, B26, S17, 1
B27, 4
B27, Trade, 9.987, 193, S17, B27, 1
B27, Trade, 12.650, 196, S16, B27, 1
B27, Trade, 29.975, 192, S14, B27, 1
B27, Trade, 39.613, 190, S08, B27, 1
B28, 4
B28, Trade, 10.662, 191, S10, B28, 1
B28, Trade, 15.637, 193, B28, S08, 1
B28, Trade, 30.800, 191, B28, S09, 1
B28, Trade, 61.350, 189, B28, S00, 1
B29, 2
B29, Trade, 3.025, 157, S09, B29, 1
B29, Trade, 27.262, 192, B29, S02, 1
B30, 3
B30, Trade, 9.075, 190, S15, B30, 1
B30, Trade, 28.775, 191, B30, S07, 1
B30, Trade, 54.913, 189, B30, S02, 1
B31, 2
B31, Trade, 8.963, 190, S10, B31, 1
B31, Trade, 65.425, 189, B31, S02, 1
B32, 2
B32, Trade, 6.525, 195, S18, B32, 1
B32, Trade, 40.175, 189, B32, S15, 1
B33, 1
B33, Trade, 5.350, 95, S01, B33, 1
B34, 4
B34, Trade, 8.813, 189, B34, S08, 1
B34, Trade, 22.000, 192, B34, S12, 1
B34, Trade, 29.662, 191, B34, S03, 1
B34, Trade, 56.475, 189, B34, S00, 1
B35, 1
B35, Trade, 5.400, 172, S11, B35, 1
B36, 2
B36, Trade, 6.000, 187, S13, B36, 1
B36, Trade, 13.287, 196, S19, B36, 1
B37, 2
B37, Trade, 4.238, 105, S02, B37, 1
B37, Trade, 28.825, 191, B37, S01, 1
B38, 4
B38, Trade, 5.763, 173, S12, B38, 1
